volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
mdp.39015063581683,1729,1729,1729,1729,,,58003,0.333491947018,1,1,149,"Buckingham, John Sheffield,",The works of John Sheffield,fic
mdp.39015078564393,1726,1726,1726,1726,,,74565,0.486483774135,1,1,142,"Swift, Jonathan,",Travels into several remote nations of the world,fic
mdp.39015065870019,1727,1727,1727,1727,,,46365,0.000434133773247,0,1,149,"Hayes, Richard.",A new method for valuing of annuities upon lives,bio
dul1.ark+=13960=t3611qj21,1709,1709,1709,1709,,,79859,0.958886682688,1,1,145,"Manley,","Secret memoirs and manners of several persons of quality, of both sexes. From the New Atalantis, an island in the Mediteranean. Written originally in Italian",fic
mdp.39015010963141,1735,1735,1735,1735,,,15643,0.00413156941786,0,1,149,"Newton, Isaac,","Tables for renewing and purchasing of the leases of cathedral-churches and colleges, according to several rates of interest ... Also tables for renewing and purchasing of lives",bio
mdp.39015078548511,1723,1723,1723,1723,,,4269,0.767606522236,1,1,149,anonymous19,Memoirs of the life of Scriblerus,fic
mdp.39015012332329,1728,1728,1728,1728,,,118885,0.958916575306,1,1,149,"Cervantes Saavedra, Miguel de,","A collection of select novels, written originally in Castillian",fic
nnc1.0114150085,1726,1726,1726,1726,,,100580,0.0902677733953,0,1,148,"Ker, John,","The memoirs of John Ker, of Kersland in North Britain, esq;",bio
ucm.5329037873,1736,1736,1736,1736,,,79701,0.962422245402,1,1,149,anonymous25,"Secret memoirs and manners of several persons of quality, of both sexes from the New Atlantis, Island in the Mediteranean ; written originally in italian ; Vol. II",fic
uc2.ark+=13960=t6154gt6f,1726,1726,1726,1726,,,46796,0.0283891361556,0,1,148,"Ker, John,","The memoirs of John Ker, of Kersland in North Britain, Esq",bio
uva.x001328302,1739,1739,1739,1739,,,158610,0.0650989409245,0,1,144,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, Baron de Pollnitz",bio
mdp.39015078567255,1726,1726,1726,1726,,,120744,0.779489701301,1,1,142,"Swift, Jonathan,",Travels into several remote nations of the world,fic
mdp.39015063600160,1729,1729,1729,1729,,,86749,0.00520909106027,0,1,149,James,"Memoirs of the English affairs, chiefly naval, from the year 1660, to 1673",bio
mdp.39015030685575,1722,1722,1722,1722,,,92994,0.99143496137,1,1,146,"Aulnoy,",A collection of novels and tales of the fairies,fic
nnc1.0114365987,1735,1735,1735,1735,,,13897,0.214450830917,0,1,149,"Rambach, J. J.","Memoirs of the life and death of the late Reverend Mr. Anthony William Boehm, formerly chaplain to the Royal Highness Prince George of Denmark, and minister of the German Chapel at St. James's in London",bio
uc2.ark+=13960=t7br8qz2n,1736,1736,1736,1736,,,134012,0.0297996126547,0,1,147,"Bacon, Francis,",Original letters and memoirs,bio
mdp.39015078548362,1722,1722,1722,1722,,,111616,0.967889414827,1,1,143,"Defoe, Daniel,",The farther adventures of Robinson Crusoe;,fic
njp.32101067499408,1727,1727,1727,1727,,,81694,0.0241427472082,0,1,149,"[Jebb, Samuel]","The life of Robert, earl of Leicester, the favourite of Queen Elizabeth",bio
mdp.39015065496005,1735,1735,1735,1735,,,83834,0.116207184413,0,1,149,"Kennett, Basil,",The lives and characters of the ancient Grecian poets,bio
dul1.ark+=13960=t53f5fj6x,1709,1709,1709,1709,,,86733,0.950532672504,1,1,145,"Manley,","Secret memoirs and manners of several persons of quality, of both sexes. From the New Atalantis, an island in the Mediteranean. Written originally in Italian",fic
uc2.ark+=13960=t39020p80,1720,1720,1720,1720,,,4455,0.128076219221,0,1,148,"Hoadly, Benjamin,",A sermon preach'd before the Lords spiritual and temporal,bio
mdp.49015000475047,1730,1730,1730,1730,,,47576,0.0909406003279,0,1,149,"Wilson, Charles",Memoirs of the life,bio
mdp.39015005344604,1706,1706,1706,1706,,,170497,0.0284512851756,0,1,149,"Rapin, Ren̩.",The whole critical works of Monsieur Rapin,bio
nnc1.cu53345592,1725,1725,1725,1725,,,40072,0.989135639255,1,1,149,"Segrais, Jean Regnauld de,",The power of jealousy exemplified in two novels,fic
hvd.hxj3tf,1736,1736,1736,1736,,,21071,0.903753348289,0,1,149,"Gyles, John,","Memoirs of odd adventures, strange deliverances, &c. in the captivity of John Gyles, Esq; commander of the garrison on St. George's River",bio
mdp.39015062920262,1706,1706,1706,1706,,,31788,0.558461743603,1,1,149,"Phalaris,",The epistles of Phalaris,fic
mdp.39015078568626,1727,1727,1727,1727,,,29392,0.970892772108,1,1,142,"Swift, Jonathan,",Memoirs of the court of Lilliput,fic
njp.32101061958524,1708,1708,1708,1708,,,50733,0.0787162931337,0,1,148,"Desmaizeaux, Pierre,",The life of Mr. Bayle,bio
mdp.39015028161266,1721,1721,1721,1721,,,60621,0.773629259905,1,1,148,"La Motte,","One hundred new court fables, written for the instruction of princes, and a true knowledge of the world",fic
mdp.39015078568659,1731,1731,1731,1731,,,22231,0.983744522771,1,1,149,"Desfontaines,","The travels of Mr. John Gulliver, son to Capt. Lemuel Gulliver",fic
mdp.39015078548305,1722,1722,1722,1722,,,83844,0.970358440213,1,1,143,"Defoe, Daniel,","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner",fic
mdp.39015009222939,1734,1734,1734,1734,,,1559450,0.0344581091291,0,1,149,"Bayle, Pierre,",The dictionary historical and critical of Mr. Peter Bayle,bio
nnc1.0113360361,1739,1739,1739,1739,,,108299,0.994636385666,1,1,148,"Aubin, Penelope,","A collection of entertaining histories and novels, designed to promote the cause of virtue and honour",fic
mdp.39015063610573,1737,1737,1737,1737,,,60279,0.197338313098,0,1,148,"Budgell, Eustace,",Memoirs of the lives and characters of the illustrious family of the Boyles;,bio
mdp.39015078548396,1719,1719,1719,1719,,,140483,0.98703920756,1,1,143,"Defoe, Daniel,","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner",fic
hvd.hxj9s2,1722,1722,1722,1722,,,154475,0.00725852735918,0,1,149,anonymous13,Memoirs of literature,bio
mdp.39015063599024,1732,1732,1732,1732,,,52951,0.144957234591,0,1,148,"Budgell, Eustace,","Memoirs of the life and character of the late earl of Orrery, and of the family of the Boyles",bio
uc2.ark+=13960=t80k27z1j,1738,1738,1738,1738,,,7362,0.711714918154,1,1,149,"Clarke, Alured,","An essay towards the character of Her late Majesty Caroline, Queen-Consort of Great Britain, & c",fic
hvd.hxj9s1,1722,1722,1722,1722,,,176249,0.0046724205346,0,1,149,anonymous17,Memoirs of literature,bio
yale.39002085617992,1732,1732,1732,1732,,,45356,0.147665624738,0,1,149,"Crokatt, Gilbert,",The Scotch Presbyterian eloquence;,bio
mdp.39015062655603,1726,1726,1726,1726,,,60989,0.694297779376,1,1,142,"Swift, Jonathan,",Travels into several remote nations of the world,fic
