volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
uva.x000496437,1916,1916,1916,1916,,,63648,0.56812650143,1,1,99,"Harris, Frank,",Oscar Wilde: his life and confessions,fic
wu.89067333633,1923,1923,1923,1923,,,70437,0.290693594767,0,1,99,"Drewry, Patrick H.",The story of a church;,bio
mdp.39015030641024,1928,1928,1880,1928,,,114174,0.346211852198,0,1,99,"baroness, Pentland, Marjorie Adeline (Gordon) Sinclair,","The Right Honourable John Sinclair, Lord Pentland, G.C.S.I.;",bio
uc1.$b323000,1924,1924,1889,1924,,,56455,0.547269526519,1,1,99,"Hay, Ian.",The shallow end,fic
mdp.39015028185497,1911,1911,1911,1911,,,123725,0.220965492014,0,1,99,"Morison, Theodore,","The life of Sir Edward Fitzgerald Law, K.C.S.I., K.C.M.G",bio
mdp.39015063978434,1912,1912,1912,1912,,,23969,0.358350774656,0,1,99,anonymous2,The coal resources of New South Wales,bio
mdp.39015028185430,1923,1923,1865,1923,,,315569,0.324558738,0,1,99,"Gardiner, A. G. (Alfred George),",The life of Sir William Harcourt,bio
mdp.39015059503071,1933,1933,1884,1933,,,123105,0.34338913251,0,1,99,"Wallace, W. Stewart (William Stewart),",The memoirs of the Rt. Hon. Sir George Foster,bio
inu.32000002836171,1920,1920,1920,1920,,,67066,0.459292149637,0,1,99,"Drew, Mary Gladstone,",Catherine Gladstone,bio
mdp.39015008164942,1934,1934,1899,1934,,,89179,0.276987072976,0,1,99,"Drennan, James.",B. U. F.; Oswald Mosley and British fascism,bio
mdp.39015010869140,1926,1926,1852,1926,,,52802,0.428104727286,0,1,99,"O'Brien, William,",The Parnell of real life,bio
mdp.39015030643236,1928,1928,1893,1928,,,171168,0.345477345292,0,1,99,"Mrs. Stirling, Anna Maria Diana Wilhelmina (Pickering),","Fyvie castle, its lairds and their times",bio
mdp.39015011540872,1926,1926,1856,1926,,,55937,0.355392664144,0,1,99,"Sir, Robbins, Alfred,","Parnell, the last five years",bio
mdp.39015020475987,1922,1922,1922,1922,,,121625,0.26254967183,0,1,99,"Rosen, Roman Romanovich,",Forty years of diplomacy,bio
mdp.39015008718333,1934,1934,1909,1934,,,228672,0.330799201778,0,1,99,"Parkinson, C. Northcote (Cyril Northcote),","Edward Pellew, viscount Exmouth, admiral of the red",bio
mdp.39015063817269,1930,1930,1876,1930,,,36158,0.238920873467,0,1,99,"Andreadēs, Andreas Michaēl,","Philip Snowden, the man and his financial policy",bio
mdp.39015010612722,1928,1928,1838,1928,,,82984,0.306683770117,0,1,99,"Morley, John,",Walpole,bio
mdp.39015030857943,1925,1925,1873,1925,,,93534,0.618613946906,1,1,99,"White, Stewart Edward,",Skookum Chuck;,fic
uc1.$b322735,1925,1925,1873,1925,,,90559,0.622517613633,1,1,99,"Beresford, J. D. (John Davys),",The monkey-puzzle,fic
mdp.39015063918935,1912,1912,1912,1912,,,86898,0.67191757823,1,1,99,"Birmingham, George A.,",The inviolable sanctuary,fic
wu.89099963688,1938,1938,1905,1938,,,157107,0.355180486124,0,1,99,"Beatty, Richmond Croom,","Lord Macaulay, Victorian liberal",bio
uc1.b4570417,1920,1920,1920,1920,,,81983,0.391866803193,0,1,99,"Filon, Augustin,",Recollections of the Empress Eugénie,bio
mdp.39015068546376,1918,1918,1918,1918,,,1685449,0.360538431614,0,1,99,anonymous9,The semi-centennial alumni record of the University of Illinois,bio
mdp.39015018620511,1914,1914,1914,1914,,,92177,0.230695071311,0,1,99,anonymous5,The Wellesley papers;,bio
uc1.$b60217,1925,1925,1862,1925,,,92165,0.392121566938,0,1,99,"Seitz, Don Carlos,",Uncommon Americans,bio
mdp.39015059389497,1927,1927,1892,1927,,,72103,0.347651763333,0,1,99,"King, Joseph Leonard,",Dr. George William Bagby;,bio
mdp.39015027659245,1920,1920,1920,1920,,,53567,0.341179437853,0,1,99,Euripides.,The Macedonian tetralogy of Euripides discussed and edited by Richard Johnson Walker,bio
mdp.39015033163356,1928,1928,1886,1928,,,87958,0.496930180812,1,1,99,"Bibesco, Marthe,",Catherine-Paris,fic
mdp.39015030657046,1936,1936,1899,1936,,,156227,0.30668684891,0,1,99,"Davies, John David Griffith,",George the Third;,bio
mdp.39015073390737,1927,1927,1856,1927,,,17803,0.391019043453,0,1,99,"Stewart, William,",Robert Burns and the common people,bio
uc1.$b55988,1929,1929,1881,1929,,,77198,0.453892254143,0,1,99,"Ince, Richard Basil,",Calverley and some Cambridge wits of the nineteenth century,bio
