volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
uc2.ark+=13960=t6qz25r28,1816,1816,1816,1816,,,78061,0.579543467893,1,1,120,"Espinel, Vicente,",The history of the life of the Squire Marcos de Obregon,fic
hvd.hxjf9g,1810,1810,1810,1810,,,152317,0.301634498303,0,1,119,"Almon, John,","Anecdotes of the life of the Right Hon. William Pitt, earl of Chatham, and of the principal events of his time",bio
njp.32101058596519,1845,1845,1845,1845,,,48538,0.366982125265,0,1,120,"Paulding, James Kirke,",A life of Washington,bio
uc2.ark+=13960=t6251n476,1831,1831,1831,1831,,,87948,0.473019294621,0,1,120,"Boaden, James,",The life of Mrs. Jordan;,bio
nyp.33433082364781,1844,1844,1844,1844,,,184060,0.431559226703,0,1,120,"Follen, Eliza Lee Cabot,",The life of Charles Follen,bio
nyp.33433075756050,1829,1829,1829,1829,,,68196,0.662509902207,1,1,120,"Sealsfield, Charles,","Tokeah; or, The white rose",fic
njp.32101068167186,1801,1801,1801,1801,,,45694,0.607040513202,1,1,120,"Dallas, Robert Charles,",Percival,fic
nyp.33433076073026,1839,1839,1839,1839,,,231101,0.304611125653,0,1,120,"Burke, Edmund,",The works of Edmund Burke,bio
mdp.39015066195192,1848,1848,1823,1848,,,75604,0.529524822272,1,1,120,"Heygate, William Edward.",William Blake,fic
njp.32101007065988,1814,1814,1814,1814,,,63903,0.657527488516,1,1,120,"Brunton, Mary,",Discipline;,fic
mdp.39015078562199,1823,1823,1823,1823,,,10384,0.653923645925,0,1,120,"Longueville, Peter,","The adventures of Philip Quarll, the English hermit, who was discovered by Mr. Dorrington on an uninhabited island, where he lived for fifty years",bio
nyp.33433082294616,1832,1832,1832,1832,,,97007,0.615368130763,1,1,120,"Kennedy, John Pendleton,",Swallow barn,fic
wu.89054437066,1843,1843,1843,1843,,,75931,0.341758294906,0,1,120,"Raimbach, Abraham,","Memoirs and recollections of the late Abraham Raimbach, esq., engraver",bio
dul1.ark+=13960=t4vh67297,1802,1802,1802,1802,,,62286,0.492638629376,1,1,120,"Grafigny,",Letters of a Peruvian princess,fic
uc2.ark+=13960=t41r6rc41,1816,1816,1816,1816,,,111106,0.366305646143,0,1,120,"Poplicola, Demodocus,","John Bull's Bible; or, Memoirs of the stewardship and stewards of John Bull's manor of Great Albion",bio
nyp.33433067285340,1842,1842,1842,1842,,,104007,0.369330989219,0,1,120,"Taylor, W. C.",Romantic biography of the age of Elizabeth;,bio
hvd.hn5dnh,1839,1839,1839,1839,,,24951,0.726158799318,1,1,120,"Barbauld,",Lessons for children,fic
uiuo.ark+=13960=t6tx3wm62,1810,1810,1810,1810,,,39472,0.646600694287,1,1,120,"Walsh,","The officer's daughter; or, A visit to Ireland in 1790",fic
nyp.33433082414719,1804,1804,1804,1804,,,146928,0.219978666302,0,1,120,"Marshall, John,",The life of George Washington,bio
nyp.33433074968227,1801,1801,1801,1801,,,49960,0.710080203701,1,1,120,"Disraeli, Isaac,",Romances,fic
nyp.33433068203680,1824,1824,1824,1824,,,145758,0.380512625999,0,1,120,"Knox, Vicesimus,","The works of Vicesimus Knox, D. D",bio
uiuo.ark+=13960=t9183k54p,1835,1835,1835,1835,,,50498,0.612553925339,1,1,120,"Blessington, Marguerite,",The two friends;,fic
hvd.hn4yhh,1823,1823,1823,1823,,,219625,0.306989231651,0,1,120,"Thacher, James,","A military journal during the American revolutionary war, from 1775 to 1783",bio
mdp.39015065596887,1824,1824,1824,1824,,,102092,0.580381242362,1,1,115,"Scott, Walter,",St. Ronan's well,fic
uiuo.ark+=13960=t8v98j32t,1845,1845,1845,1845,,,58317,0.585713536843,1,1,120,"Gore,",The story of a royal favourite,fic
loc.ark+=13960=t74t75385,1813,1813,1813,1813,,,75886,0.275252012028,0,1,120,"Williams, Charles Verulam. [from old catalog]",The life administration of the Right Hon. Spencer Perceval;,bio
uc2.ark+=13960=t9571c728,1816,1816,1816,1816,,,68331,0.58723430132,1,1,120,"Ryley, S. W.",The itinerant;,fic
wu.89099912115,1843,1843,1843,1843,,,472142,0.69777111512,1,1,120,"Bremer, Fredrika,","Strife and peace, or, scenes in Norway. The H... family. The Bondmaid. Axel and Anna. The home, or, family cares and family joys. A diary",fic
loc.ark+=13960=t0ht2qz73,1848,1848,1848,1848,,,100150,0.318039866949,0,1,120,anonymous8,Taylor and his generals,bio
pst.000007344923,1817,1817,1817,1817,,,160579,0.664935970246,1,1,120,"Aulnoy,",Fairy tales and novels,fic
uiuo.ark+=13960=t9474p035,1805,1805,1805,1805,,,52512,0.576345015761,1,1,120,"Charlton, Mary.",The homicide,fic
wu.89096294442,1820,1820,1820,1820,,,174940,0.244797511591,0,1,120,"Andrewes, J.",The memoirs of the life and reign of George the Third,bio
njp.32101038142988,1805,1805,1805,1805,,,84035,0.397490966103,0,1,120,"Johnson, Samuel,",The lives of the most eminent English poets,bio
nyp.33433081620100,1809,1809,1809,1809,,,104722,0.408421481495,0,1,120,"Pliny,",The letters of Pliny the Consul,bio
hvd.32044077912624,1818,1818,1818,1818,,,87432,0.599203365075,0,1,120,"Rogers, Hester Ann,",An account of the experience of Mrs. H.A. Rogers,bio
nyp.33433082376306,1831,1831,1831,1831,,,237530,0.472159207541,0,1,120,"Boswell, James,","The life of Samuel Johnson, LL.D",bio
uiuo.ark+=13960=t01z4wd3v,1837,1837,1837,1837,,,61939,0.672452038623,1,1,120,"Disraeli, Benjamin,",Henrietta Temple,fic
mdp.39015063610631,1805,1805,1805,1805,,,96583,0.40826106486,0,1,120,Stewarton.,The female revolutionary Plutarch,bio
hvd.32044009849225,1832,1832,1832,1832,,,42350,0.556766772801,1,1,120,"Martineau, Harriet,",Illustrations of political economy,fic
nyp.33433081694543,1826,1826,1826,1826,,,41952,0.673083475414,1,1,120,"Head, Francis Bond,",Rough notes taken during some rapid journeys across the Pampas and among the Andes,fic
hvd.hwadb8,1829,1829,1829,1829,,,122584,0.604159845187,1,1,115,"Scott, Walter,",The Waverley novels,fic
loc.ark+=13960=t2q52q870,1848,1848,1848,1848,,,6042,0.310601190636,0,1,120,"Smith, Truman,","Remarks of Mr Tryman Smith, of Conn., on the imputations of N. B. Blunt, esq., of the city of New York",bio
yale.39002032545460,1804,1804,1804,1804,,,306093,0.300335359623,0,1,120,"Beatson, Robert,","Naval and military memoirs of Great Britain, from 1727 to 1783",bio
uiuo.ark+=13960=t0ht3921z,1818,1818,1818,1818,,,43866,0.78575516396,1,1,120,"Stanhope, Louisa Sidney.","The bandit's bride, or, The maid of Saxony. A romance",fic
nyp.33433068233216,1844,1844,1844,1844,,,103285,0.474421677151,0,1,120,anonymous7,Lives of the English saints,bio
nyp.33433076080021,1836,1836,1836,1836,,,149710,0.43603415103,0,1,120,"Bentley, Richard,",The works of Richard Bentley,bio
uc1.b4104597,1846,1846,1846,1846,,,96896,0.738077621578,1,1,120,"Sewell, Elizabeth Missing,",Amy Herbert,fic
yale.39002005799243,1840,1840,1840,1840,,,153068,0.407482735314,0,1,120,"Romilly, Samuel,",Memoirs of the life of Sir Samuel Romilly,bio
njp.32101067178572,1835,1835,1835,1835,,,68746,0.661546549309,1,1,120,"Trollope, Frances Milton,",Tremordyn cliff,fic
nyp.33433082337233,1815,1815,1815,1815,,,43092,0.329365927666,0,1,120,"Barrington, Shute,","The political life of William Wildman, viscount Barrington",bio
uiuo.ark+=13960=t0zp4j72m,1811,1811,1811,1811,,,33674,0.714483677771,1,1,120,Lady.,Julia de Vienne,fic
loc.ark+=13960=t3611fb1j,1834,1834,1834,1834,,,29525,0.303542570742,0,1,120,"[Saint-George, A.,","A sketch of the life of the illustrious Washington, first president of the United States of America",bio
uiuo.ark+=13960=t5cc19268,1834,1834,1834,1834,,,119331,0.590668101584,1,1,120,"Carleton, William,",Traits and stories of the Irish peasantry,fic
uiuo.ark+=13960=t8gf19s26,1816,1816,1816,1816,,,71481,0.741329906741,1,1,120,"Lamb, Caroline,",Glenarvon,fic
nyp.33433074855077,1830,1830,1830,1830,,,89334,0.608476896254,1,1,120,"Galt, John,",Southennan,fic
uc2.ark+=13960=t0ms3k70m,1842,1842,1842,1842,,,61346,0.627798589543,1,1,120,"Sargent, Epes,",Wealth and worth;,fic
nyp.33433075743546,1822,1822,1822,1822,,,105789,0.633074556515,1,1,115,"Scott, Walter,",The pirate,fic
uiuo.ark+=13960=t23b6pc44,1836,1836,1836,1836,,,80245,0.680402524278,1,1,120,"Sherer, Moyle,",The broken font,fic
loc.ark+=13960=t0cv4mm0v,1838,1838,1838,1838,,,5215,0.315463765949,0,1,120,"Graham, James,","Speech of Mr. James Graham, of North Carolina, on the bill making an appropriation to prevent and suppress Indian hostilities",bio
hvd.hwriwy,1814,1814,1814,1814,,,42335,0.335515242126,0,1,120,"Berwick, Edward,","Lives of Caius Asinius Pollio, Marcus Terentius Varro, and Cneius Cornelius Gallus;",bio
nyp.33433074955497,1826,1826,1826,1826,,,89657,0.723349588916,1,1,120,"Banim, John,",Tales by the O'Hara family,fic
hvd.hxphxt,1803,1803,1803,1803,,,107555,0.360900833687,0,1,120,"Hays, Mary,",Female biography;,bio
uc2.ark+=13960=t2g73kg7x,1848,1848,1848,1848,,,214913,0.402348552063,0,1,120,"Maceroni, Francis,",Memoirs of the life and adventures of Colonel Maceroni,bio
mdp.39015062286094,1829,1829,1829,1829,,,61242,0.661184688175,1,1,118,"James, G. P. R.",Richelieu,fic
nnc1.0022556605,1830,1830,1830,1830,,,68994,0.698143551775,1,1,120,"Shelley, Mary Wollstonecraft,",The fortunes of Perkin Warbeck,fic
hvd.32044086829090,1844,1844,1844,1844,,,198922,0.687400094618,1,1,118,"James, G. P. R.",Arabella Stuart,fic
hvd.hwka6x,1828,1828,1828,1828,,,147727,0.423128164677,0,1,120,"Hazlitt, William,",The life of Napoleon Buonaparte,bio
mdp.39015008355854,1815,1815,1815,1815,,,124642,0.288527299116,0,1,120,"Coxe, William,","Memoirs of the kings of Spain of the House of Bourbon, from the accession of Philip V. to the death of Charles III. 1700 to 1788",bio
mdp.39015078565473,1800,1800,1800,1800,,,82575,0.533761908267,1,1,120,"Swift, Jonathan,","The travels of Lemuel Gulliver, into several remote nations of the world;",fic
nyp.33433075723415,1812,1812,1812,1812,,,43644,0.720245843111,1,1,120,"Watson,","Rosamund, countess of Clarenstein",fic
hvd.hn6ev6,1844,1844,1844,1844,,,600822,0.682500257019,1,1,118,"James, G. P. R.",Arrah Neil,fic
mdp.39015065103650,1801,1801,1801,1801,,,201612,0.297214226274,0,1,120,"MacLaurin, Colin,",A treatise on fluxions,bio
hvd.hn5dpi,1841,1841,1841,1841,,,29094,0.712799454537,1,1,120,anonymous2,"Charlie's discoveries, or, a good use for eyes and ears",fic
nyp.33433088074210,1842,1842,1842,1842,,,207037,0.602829482732,1,1,120,"Bussey, George Moir.","Fables, original and selected",fic
hvd.hwp2rl,1827,1827,1827,1827,,,311101,0.328252691025,0,1,115,"Scott, Walter,","The life of Napoleon Bonaparte, emperor of the French",bio
nyp.33433082360664,1803,1803,1803,1803,,,223716,0.33540954262,0,1,120,"Godwin, William,","Life of Geoffrey Chaucer, the early English poet",bio
mdp.39015073747266,1836,1836,1836,1836,,,181658,0.374644234727,0,1,120,"Mackintosh, James,",Memoirs of the life of the Right Honourable Sir James Mackintosh,bio
njp.32101063578239,1828,1828,1828,1828,,,61173,0.683384724227,1,1,120,"Blackford,",The Eskdale herd-boy,fic
loc.ark+=13960=t8x92n44t,1848,1848,1848,1848,,,20354,0.318272309394,0,1,120,"Tochman, G.","An exposé of the conduct of Joseph H. Bradley of Washington, D.C., counsellor ""employed by the imperial Russian legation,"" towards Major G. Tochman, of New York, counsellor retained by the next of kin and heirs at law of Gen. Thadeus Kosciusko",bio
uiuo.ark+=13960=t2v418x46,1849,1849,1849,1849,,,48213,0.686194479266,1,1,120,"Murray, Hamilton.",Léonie Vermont,fic
nyp.33433075769988,1810,1810,1810,1810,,,106220,0.647255534598,1,1,120,"Porter, Anna Maria,",Don Sebastian;,fic
nnc1.50181429,1831,1831,1831,1831,,,125918,0.260031187884,0,1,120,"Stapleton, Augustus Granville,","The political life of the Right Honourable George Canning, from",bio
nnc1.1002109794,1847,1847,1847,1847,,,99109,0.680276962736,1,1,120,anonymous3,"The buckskin; or, The camp of the besiegers",fic
nyp.33433008495362,1840,1840,1840,1840,,,51407,0.433668573695,0,1,120,"Murrell, William Meacham.",Cruise of the frigate Columbia around the world,bio
nyp.33433082363692,1831,1831,1831,1831,,,209668,0.366128197907,0,1,120,"Rutt, John Towill,","Life and correspondence of Joseph Priestley, LL.D., F.R.S., &c",bio
mdp.39015023169579,1812,1812,1812,1812,,,245287,0.290806261772,0,1,120,anonymous4,The General biographical dictionary,bio
nyp.33433087358531,1807,1807,1807,1807,,,70348,0.624496364912,1,1,120,anonymous0,"Classic tales, serious and lively",fic
mdp.39015067116650,1809,1809,1809,1809,,,70261,0.458442023074,0,1,120,"[Porter, Robert Ker]",Letters from Portugal and Spain,bio
uc2.ark+=13960=t84j0kq44,1820,1820,1820,1820,,,31800,0.584186555594,1,1,120,"Brydges, Egerton,",Sir Ralph Willoughby,fic
yale.39002071560305,1848,1848,1848,1848,,,131187,0.323334250596,0,1,120,"Cutter, William,","The life of Israel Putnam, major-general in the Army of the American Revolution",bio
