volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
yale.39002035102640,1849,1849,1849,1849,,,144504,0.349184516554,0,1,99,"Simms, William Gilmore,","The life of Nathanael Greene, Major-General in the army of the revolution",bio
yale.39002060198240,1829,1829,1829,1829,,,20891,0.381777958091,0,1,99,"Upham, Charles Wentworth,",A discourse delivered on the Sabbath after the decease of the Hon. Timothy Pickering,bio
mdp.39015031946315,1820,1820,1820,1820,,,218439,0.291423412897,0,1,99,anonymous2,"The Royal military calendar, or Army service and commission book",bio
uc2.ark+=13960=t5r786m5d,1834,1834,1834,1834,,,86795,0.298103631947,0,1,99,"Linn, William,",The life of Thomas Jefferson,bio
hvd.32044004635306,1826,1826,1826,1826,,,45492,0.257155303741,0,1,99,"Babbage, Charles,",A comparative view of the various institutions for the assurance of lives,bio
uc2.ark+=13960=t0xp6vf8c,1840,1840,1840,1840,,,127420,0.468125148391,0,1,99,"Brainerd, David,","The life of Rev. David Brainerd, chiefly extracted from his diary",bio
loc.ark+=13960=t6154rd2f,1842,1842,1842,1842,,,51830,0.537650288055,1,1,99,"Cahoone, Sarah S.",Sketches of Newport and its vicinity;,fic
hvd.hwrtip,1833,1833,1833,1833,,,63200,0.416317049231,0,1,99,"Dermoncourt, Paul Ferdinand Stanislas,",Duchess of Berri in La Vendée;,bio
uc1.b305452,1843,1843,1843,1843,,,84528,0.676892436831,1,1,99,"Bremer, Fredrika,",The home,fic
mdp.39015073728308,1826,1826,1826,1826,,,143194,0.535336282074,0,1,99,anonymous25,Autobiography;,bio
nyp.33433067285340,1842,1842,1842,1842,,,104007,0.382412505304,0,1,99,"Taylor, W. C.",Romantic biography of the age of Elizabeth;,bio
umn.31951002084281v,1845,1845,1845,1845,,,173836,0.344257947601,0,1,99,"Brougham and Vaux, Henry Brougham,",Lives of men of letters and science,bio
nyp.33433082142385,1837,1837,1837,1837,,,125662,0.325593031748,0,1,98,"James, G. P. R.","Lives of Cardinal de Retz, Jean Baptiste Colbert, John de Witt and the Marquis de Louvois",bio
nyp.33433070254127,1848,1848,1848,1848,,,32455,0.701659264763,1,1,99,"Ollier, Charles,","Fallacy of ghosts, dreams, and omens;",fic
mdp.39015063938685,1820,1820,1820,1820,,,225120,0.594478591149,1,1,99,"Huish, Robert,",The brothers;,fic
njp.32101067178572,1835,1835,1835,1835,,,68746,0.622760438235,1,1,98,"Trollope, Frances Milton,",Tremordyn cliff,fic
loc.ark+=13960=t1bk1fp17,1835,1835,1835,1835,,,4329,0.373449832069,0,1,99,anonymous40,"Proceedings at New Haven, in relation to the demise of the Hon. Nathan Smith: and the funeral solemnities with the discourse, delivered on the occasion",bio
nyp.33433067364574,1824,1824,1824,1824,,,74990,0.480524349386,0,1,99,"Brydges, Egerton,",Letters on the character and poetical genius of Lord Byron,bio
uc1.b3419789,1848,1848,1848,1848,,,114820,0.439868840047,0,1,99,"Schleiden, M. J.",The plant ; a biography,bio
nyp.33433082352901,1845,1845,1845,1845,,,146548,0.408373420567,0,1,99,"Stanhope, Philip Henry Stanhope,","The life of Louis, prince of Condé, surnamed the Great",bio
uc1.$b748345,1848,1848,1848,1848,,,332644,0.368802523354,0,1,98,"Campbell, John Campbell,",The lives of the Lord Chancellors and Keepers of the Great Seal of England,bio
inu.32000004490712,1834,1834,1834,1834,,,85176,0.604048840514,1,1,98,"Martineau, Harriet,",Illustrations of political economy,fic
nyp.33433008490694,1823,1823,1823,1823,,,240725,0.293902771947,0,1,98,"Marshall, John,","Royal naval biography; or, Memoirs of the services of all the flag-officers, superannuated rear-admirals, retired-captains, post-captains, and commanders, whose names appeared on the Admiralty list of sea officers at the commencement of the present year, or who have since been promoted; illustrated by a series of historical and explanatory notes ... With copious addenda",bio
nyp.33433082354303,1831,1831,1831,1831,,,18493,0.595044701101,0,1,99,anonymous32,"Whig against Tory, or, The military adventures of a shoemaker",bio
