volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
mdp.39015011495200,1982,1982,1947,1982,,,294850,0.396374029347,0,1,149,"Dunlop, Richard.","Donovan, America's master spy",bio
mdp.39015008590914,1983,1983,1948,1983,,,59653,0.485013152878,0,1,149,"Thatcher, Carol.",Diary of an election,bio
mdp.39015003330944,1972,1972,1937,1972,,,96864,0.316449698881,0,1,149,"Kogel, Renee.",Pierre Charron,bio
mdp.39076005076414,1968,1968,1933,1968,,,4065,0.73221974237,1,1,149,"Valen, Herb.",The boy who could enter paintings,fic
mdp.39015082091755,1950,1950,1915,1950,,,135333,0.316509835986,0,1,149,"Thomson, Gladys Scott.","Life in a noble household, 1641-1700",bio
mdp.39015063280773,1972,1972,1904,1972,,,81270,0.616103685119,1,1,149,"Del Mar, Don,",Blood-pearls of Sulu,fic
uc1.b4311105,1952,1952,1882,1952,,,107745,0.396093402093,0,1,149,"Young, G. M. (George Malcolm),",Stanley Baldwin,bio
mdp.49015002828235,1975,1975,1921,1975,,,87431,0.657472262584,1,1,149,"Ekwensi, Cyprian,",Jagua Nana,fic
mdp.39015008809959,1956,1956,1921,1956,,,133471,0.404319950074,0,1,149,"MacColl, René, 1905-",Roger Casement,bio
inu.30000067169916,1998,1998,1963,1998,,,28279,0.593956751698,1,1,149,"Botshelo, I. S.",Window of opportunity,fic
mdp.39015003939975,1975,1975,1940,1975,,,124332,0.424346211171,1,1,149,"Lambert, Gavin.",The dangerous edge,fic
uc1.$b451140,1970,1970,1935,1970,,,105406,0.638464319771,1,1,149,"Markson, David.",Going down,fic
mdp.39015012837525,1953,1953,1906,1953,,,90214,0.608353443264,1,1,149,"Soldati, Mario,",Dinner with the commendatore,fic
mdp.39015049790838,1970,1970,1935,1970,,,10185,0.295930394597,0,1,149,"Froggatt, Peter.",Modern epidemiology,bio
mdp.39015008217716,1956,1956,1910,1956,,,1937,0.622761887721,1,1,149,"Beim, Jerrold,",Thin ice,fic
mdp.39015001065393,1981,1981,1948,1981,,,223133,0.389539554482,0,1,149,"Lindop, Grevel,",The opium-eater,bio
mdp.39015032385885,1979,1979,1944,1979,,,189922,0.671860539313,1,1,149,"Sillitoe, Alan.",A start in life,fic
mdp.39015019799017,1962,1962,1927,1962,,,39621,0.275332449358,0,1,149,"Harley, J. B. (John Brian)","Christopher Greenwood, county mapmaker, and his Worcestershire map of 1822",bio
mdp.39015007947453,1983,1983,1948,1983,,,84600,0.37007680096,0,1,149,"Turing, Penelope.",Hans Hotter,bio
mdp.39015002757873,1979,1979,1915,1979,,,107111,0.505706160895,0,1,149,"Sutton, William Alfred,",Carl Sandburg remembered,bio
mdp.39015012409218,1975,1975,1939,1975,,,166267,0.591714441964,1,1,149,"Drabble, Margaret,",The realms of gold,fic
mdp.49015001288100,1971,1971,1919,1971,,,110713,0.603595449572,1,1,149,"Abrahams, Peter,","This island, now",fic
uc1.b3440821,1983,1983,1931,1983,,,45217,0.566783221987,1,1,149,"Federspiel, Jürg,",The ballad of Typhoid Mary,fic
mdp.39015002982729,1974,1974,1939,1974,,,24632,0.375969606721,0,1,149,"Dunleavy, Gareth W.",Douglas Hyde,bio
mdp.39015005067304,1982,1982,1947,1982,,,117878,0.719008517668,1,1,149,"Guest, Judith.",Second heaven,fic
mdp.39015000627409,1977,1977,1942,1977,,,109354,0.670603538054,1,1,149,"Kotlowitz, Robert.",The boardwalk,fic
mdp.39015002676354,1955,1955,1920,1955,,,366678,0.622770475031,1,1,149,"Thurston, Jarvis A.",Reading modern short stories,fic
mdp.39015082003693,1958,1958,1923,1958,,,194650,0.326808804815,0,1,149,"Wiggin, Lewis M.",The faction of cousins;,bio
mdp.39015009174791,1966,1966,1916,1966,,,199101,0.364217288681,0,1,149,"Inglis, Brian,",Abdication,bio
inu.30000060925363,1996,1996,1961,1996,,,29420,0.592776949451,1,1,149,"(Sunny G.). Ikhumetse, S. G.",Fingers of yesterday,fic
mdp.39015017632830,1960,1960,1913,1960,,,144620,0.647246542145,1,1,149,"Innes, Hammond,",The doomed oasis,fic
mdp.39015054057065,1965,1965,1912,1965,,,21619,0.618424862084,1,1,149,"Amado, Jorge,",The two deaths of Quincas Wateryell,fic
mdp.39015063026804,1958,1958,1878,1958,,,144445,0.399535674914,0,1,149,"Marchioness Dowager of, Londonderry, Edith Helen",Frances Anne,bio
mdp.39015011913632,1966,1966,1923,1966,,,84350,0.591332637825,1,1,149,"Biggle, Lloyd,",Watchers of the dark,fic
mdp.39015046443464,1983,1983,1927,1983,,,162139,0.436908858272,0,1,149,"Edwards, Anne,",Road to Tara,bio
uc1.b3727131,1966,1966,1931,1966,,,79257,0.685468181979,1,1,149,"Bongartz, Roy.",Twelve chases on West Ninety-ninth Street,fic
uc1.b4450225,1968,1968,1933,1968,,,92858,0.452936219121,0,1,149,"Sidey, Hugh.",A very personal Presidency;,bio
inu.39000000597562,1984,1984,1925,1984,,,67429,0.365439059236,0,1,149,"Jackman, S. W. (Sydney Wayne),",The people's princess,bio
gri.ark+=13960=t6j12tp88,1970,1970,1912,1970,,,38357,0.348406058722,0,1,149,"Hill, Christopher,",God's Englishman;,bio
uc1.b4381470,1952,1952,1909,1952,,,292549,0.636798634227,1,1,149,"Carson, Robert,",The magic lantern,fic
mdp.39015003313684,1962,1962,1927,1962,,,86582,0.336325647672,0,1,149,"Grebstein, Sheldon Norman.",Sinclair Lewis,bio
mdp.39015039331809,1970,1970,1917,1970,,,110591,0.416538443282,0,1,149,"Burgess, Anthony,",Shakespeare,bio
mdp.39015015837787,1983,1983,1944,1983,,,65501,0.318278230702,0,1,149,"Pressly, William L.,",James Barry: the artist as hero,bio
mdp.39015065840236,1962,1962,1902,1962,,,197151,0.303707379485,0,1,149,"Sir, Wheeler-Bennett, John Wheeler,","John Anderson, viscount Waverley",bio
uc1.$b104430,1966,1966,1902,1966,,,100132,0.688011674596,1,1,149,"Murphy, Robert William,","The phantom setter, and other stories",fic
mdp.39015030038924,1974,1974,1939,1974,,,69124,0.668828840767,1,1,149,"Wilding, Michael.",Living together,fic
mdp.39076002198948,1950,1950,1875,1950,,,63843,0.598685721923,1,1,149,"Bailey, Carolyn Sherwin,",Enchanted village,fic
uc1.b4401325,1992,1992,1957,1992,,,110931,0.401792963174,0,1,149,"Brizendine, Curtis Hansman.",Cloudy mountains,bio
mdp.39015001212573,1950,1950,1915,1950,,,114075,0.398499270594,0,1,149,"Hernandez, Jose.",Rizal,bio
uc1.$b87170,1955,1955,1906,1955,,,102026,0.67410190932,1,1,149,"Corle, Edwin,",Fig Tree John,fic
mdp.39015014657020,1963,1963,1928,1963,,,119777,0.538113657006,1,1,149,"Stridsberg, Gusti F.",My five lives;,fic
mdp.39015051420480,1975,1975,1940,1975,,,92926,0.344923866073,0,1,149,"Gray, Edwyn.",The Devil's device,bio
uc1.b4505437,1982,1982,1939,1982,,,122411,0.291632662942,0,1,149,"Miller, Darlis A.,",The California Column in New Mexico,bio
mdp.39015034285539,1993,1993,1958,1993,,,57879,0.660951182406,1,1,149,"Amarasēkara, Rūpā.",Revolt to an era,fic
uc1.$b396642,1969,1969,1934,1969,,,109135,0.566869346027,1,1,149,"Rayner, William.",The last days,fic
mdp.39015057659545,1982,1982,1947,1982,,,13689,0.704015363817,1,1,149,"Canan, Janine.",Shapes of self,fic
uc1.b3899948,1982,1982,1951,1982,,,111257,0.314832883339,0,1,149,"Miller, Char,","Fathers and sons, the Bingham family and the American mission",bio
mdp.39076000643713,1983,1983,1948,1983,,,77711,0.689658382563,1,1,149,"Stretton, Barbara.",The truth of the matter,fic
osu.32435069348423,1959,1959,1924,1959,,,57890,0.707528365163,1,1,149,"Schorr, Louise.",Prestige,fic
mdp.39015059434459,1964,1964,1929,1964,,,89470,0.509906125841,1,1,149,"Schleppy, Leon.",Exit wondering;,fic
inu.30000114172418,1977,1977,1942,1977,,,136564,0.640014896107,1,1,149,"Farris, John.",All heads turn when the hunt goes by,fic
uc1.32106011481857,1989,1989,1954,1989,,,7846,0.642752710211,1,1,149,Los Bros Hernandez,Duck feet,fic
uc1.b3116800,1956,1956,1921,1956,,,92990,0.767748639986,1,1,149,"Kavinoky, Bernice.",Honey from a dark hive,fic
mdp.39015028969007,1971,1971,1936,1971,,,27179,0.589712011557,1,1,149,"Jocano, F. Landa.",Myths and legends of the early Filipinos,fic
mdp.39015036737735,1959,1959,1924,1959,,,100754,0.667017885044,1,1,149,"Goytisolo, Juan.",The young assassins,fic
mdp.39015082068639,1958,1958,1882,1958,,,178242,0.36137087347,0,1,149,"Sir, Wrench, Evelyn,",Alfred Lord Milner,bio
uc1.b3660566,1968,1968,1933,1968,,,91790,0.368523521818,0,1,149,"Thoumine, R. H.",Scientific soldier,bio
mdp.39015002247545,1964,1964,1909,1964,,,10395,0.339633806915,0,1,149,"Berlin, Isaiah,",Mr. Churchill in 1940,bio
mdp.39015005296093,1983,1983,1948,1983,,,274775,0.346507449187,0,1,149,"Paper, Lewis J.",Brandeis,bio
mdp.39015024086087,1967,1967,1909,1967,,,61901,0.635440399383,1,1,149,"Friendlich, Dick,",Fullback from nowhere,fic
mdp.39015003655308,1981,1981,1946,1981,,,90936,0.635687584646,1,1,149,"Oz, Amos.","Where the jackals howl, and other stories",fic
mdp.39015065837554,1957,1957,1902,1957,,,48833,0.309568765774,0,1,149,"Sir, Harkness, Douglas,","Bolingbroke, the man and his career",bio
uc1.b4531759,1984,1984,1937,1984,,,50771,0.501726042966,0,1,149,"Sheehan, Susan,",Kate Quinton's days,bio
mdp.39015066410765,1959,1959,1924,1959,,,135802,0.274931577717,0,1,149,"Kearney, Hugh F.","Strafford in Ireland, 1633-41;",bio
uc1.b4236956,1983,1983,1948,1983,,,126038,0.528540402039,0,1,149,"Lindsey, Robert.",The flight of the Falcon,bio
mdp.39015000563893,1979,1979,1909,1979,,,95200,0.657868840104,1,1,149,"Ehrlich, Max,",Reincarnation in Venice,fic
mdp.39015006741139,1975,1975,1940,1975,,,100014,0.31852148984,0,1,149,"Vergo, Peter.",Art in Vienna 1898-1918,bio
mdp.39015014552627,1983,1983,1948,1983,,,117423,0.361919188965,0,1,149,"Browne, Alfred.",Tony Benn,bio
uc1.b3842096,1983,1983,1921,1983,,,200966,0.633642346392,1,1,149,"Ćosić, Dobrica,","[This land, this time]",fic
mdp.39015008512439,1981,1981,1925,1981,,,159095,0.352248695991,0,1,149,"Jacobs, Dan N. (Dan Norman),","Borodin, Stalin's man in China",bio
uc1.$b102491,1952,1952,1912,1952,,,157876,0.697174117091,1,1,149,"Ham, Tom,",Give us this valley,fic
uc1.b3964297,1982,1982,1947,1982,,,260865,0.345210851127,0,1,149,"Tarling, Nicholas.","The burthen, the risk, and the glory",bio
mdp.39015008459722,1982,1982,1947,1982,,,63308,0.673956422858,1,1,149,"Welch, Denton.",In youth is pleasure,fic
mdp.39015000225246,1977,1977,1918,1977,,,318333,0.379518559224,0,1,149,"Bate, Walter Jackson,",Samuel Johnson,bio
mdp.39015046869163,1975,1975,1940,1975,,,210973,0.407960929323,0,1,149,"Davis, Burke.",George Washington and the American Revolution,bio
uc1.b4597359,1966,1966,1931,1966,,,93235,0.344868074079,0,1,149,"Morris, Richard Knowles.","John P. Holland, 1841-1914, inventor of the modern submarine",bio
uc1.$b755723,1965,1965,1930,1965,,,108255,0.326656633157,0,1,149,"Lynch, Kathleen Martha",Roger Boyle,bio
uc1.b3727383,1977,1977,1948,1977,,,120731,0.382235922142,0,1,149,"Egremont, Max,",The cousins,bio
inu.39000001130710,1984,1984,1949,1984,,,81265,0.688067263001,1,1,149,"Wheatley, Nadia.",The house that was Eureka,fic
mdp.39076002198575,1957,1957,1908,1957,,,37675,0.617751606241,1,1,149,"Van Stockum, Hilda,",King Oberon's forest,fic
uc1.$b751011,1953,1953,1918,1953,,,188621,0.364127958744,0,1,149,"Cowles, Virginia.",Winston Churchill;,bio
mdp.39015001832776,1977,1977,1922,1977,,,38845,0.601798696976,1,1,149,"Robbe-Grillet, Alain,",Topology of a phantom city,fic
mdp.39015014280021,1967,1967,1912,1967,,,151426,0.416973647905,0,1,149,"Acland, Alice,",The Rebel Countess;,bio
mdp.39015005188019,1972,1972,1930,1972,,,130051,0.344459089209,0,1,149,"McNeal, Robert Hatch,",Bride of the revolution;,bio
mdp.39015005721124,1955,1955,1920,1955,,,70486,0.3613639884,0,1,149,"Lewis, Lionel Smithett.",St. Joseph of Arimathea at Glastonbury;,bio
uc1.b3767284,1960,1960,1932,1960,,,70636,0.570257392072,1,1,149,"Beti, Mongo,",King Lazarus : a novel,fic
uc1.b3638697,1963,1963,1920,1963,,,98558,0.29726273566,0,1,149,"Coleman, D. C. (Donald Cuthbert),","Sir John Banks, baronet and businessman;",bio
mdp.39015074198451,1969,1969,1934,1969,,,101850,0.324543317349,0,1,149,"Cronon, Edmund David.",Black Moses,bio
mdp.39015012969377,1962,1962,1927,1962,,,167099,0.371414613523,0,1,149,"Mirrlees, Hope.",A fly in amber,bio
uc1.b3687673,1953,1953,1903,1953,,,109249,0.706414966724,1,1,149,"Edmonds, Walter Dumaux,",The Boyds of Black River,fic
mdp.39015012886449,1962,1962,1927,1962,,,8204,0.630416338593,1,1,149,"Abse, Dannie.","Poems, Golders Green",fic
mdp.39015014854155,1957,1957,1897,1957,,,48831,0.479291253331,1,1,149,"Synge, J. L. (John Lighton),",Kandelman's Krim,fic
mdp.39015031904512,1967,1967,1932,1967,,,197559,0.325853204984,0,1,149,"Marlowe, John.",Late Victorian,bio
uc1.$b105838,1960,1960,1925,1960,,,114376,0.564603090518,1,1,149,"Ustinov, Peter.",The loser,fic
uc1.$b312060,1952,1952,1907,1952,,,63808,0.632363874358,1,1,149,"Roy, Jules,",The happy valley;,fic
inu.32000009830789,1960,1960,1925,1960,,,231030,0.33150838702,0,1,149,"Sommer, Dudley.",Haldane of Cloan,bio
mdp.39015005326031,1979,1979,1944,1979,,,180943,0.30867967089,0,1,149,"Collinson, Patrick.","Archbishop Grindal, 1519-1583",bio
mdp.39015065202569,1952,1952,1891,1952,,,190007,0.346817475373,0,1,149,"Sir, Kelly, David Victor,",The ruling few;,bio
mdp.39015007833356,1972,1972,1937,1972,,,95398,0.341430260377,0,1,149,"Grew, Eva.",Bach,bio
mdp.39015016913439,1977,1977,1940,1977,,,149396,0.350300716146,0,1,149,"Bochner, Jay,",Blaise Cendrars,bio
mdp.39015010378225,1959,1959,1881,1959,,,182265,0.381635645068,0,1,149,"Colum, Padraic,",Arthur Griffith,bio
mdp.39015046408269,1957,1957,1922,1957,,,134880,0.393028419563,0,1,149,"Zaide, Gregorio F.",José Rizal,bio
mdp.39015030812484,1966,1966,1879,1966,,,262319,0.310633542385,0,1,149,"Taylor, E. G. R. (Eva Germaine Rimington),","The mathematical practitioners of Hanoverian England, 1714-1840",bio
uc1.b3462999,1952,1952,1917,1952,,,166714,0.424694248229,0,1,149,"Taylor, Robert Lewis.",Winston Churchill;,bio
