volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
mdp.39015013744076,1754,1754,1754,1754,,,73848,0.986618677745,1,1,148,"Guthrie, William,",The friends,fic
dul1.ark+=13960=t26980f3m,1754,1754,1754,1754,,,47396,0.911524703763,0,1,149,"Argens, Jean-Baptiste de Boyer,",Memoirs of the Count du Beauval,bio
nyp.33433008488060,1750,1750,1750,1750,,,172865,0.0145538778189,0,1,149,"Campbell, John,",Lives of the admirals and other eminent British seamen,bio
dul1.ark+=13960=t3hx26m59,1741,1741,1741,1741,,,149967,0.960027860988,1,1,148,"Aulnoy,","The history of Hypolitus, earl of Douglas",fic
mdp.39015078561266,1743,1743,1743,1743,,,110862,0.877518020349,1,1,146,"Defoe, Daniel,","The pleasant, and surprizing adventures of Mr. Robert Drury, during his fifteen years captivity on the island of Madagascar",fic
nyp.33433074913645,1751,1751,1751,1751,,,72690,0.950259607135,1,1,143,"Haywood, Eliza Fowler,",The history of Miss Betsy Thoughtless,fic
mdp.39015055354651,1759,1759,1759,1759,,,60893,0.952140246015,1,1,148,"Le Sage, Alain Ren̩,",The devil upon crutches,fic
nnc1.0020355475,1741,1741,1741,1741,,,38129,0.993775233882,1,1,149,anonymous27,Benedicta;,fic
dul1.ark+=13960=t1cj99q4g,1741,1741,1741,1741,,,22103,0.0871350531446,0,1,149,"Oldys, William,",Memoirs of Mrs. Anne Oldfield,bio
hvd.hn3abv,1747,1747,1747,1747,,,145492,0.965048737465,1,1,140,"Cervantes Saavedra, Miguel de,",The life and exploits of the ingenious gentlemen Don Quixote de la Mancha,fic
nnc1.0038590972,1747,1747,1747,1747,,,65849,0.448696150843,0,1,149,anonymous40,Memoirs of the Nutrebian court,bio
nyp.33433061843508,1743,1743,1743,1743,,,219981,0.00203444331701,0,1,149,anonymous35,"An historical, genealogical, and classical dictionary",bio
mdp.39015055354644,1759,1759,1759,1759,,,65303,0.947249938015,1,1,148,"Le Sage, Alain Ren̩,",The devil upon crutches,fic
