volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
nnc1.0037104098,1739,1739,1739,1739,,,86025,0.649163017695,1,1,148,"Challes, Robert,",The illustrious French lovers;,fic
dul1.ark+=13960=t74t7bs0b,1735,1735,1735,1735,,,127228,0.621844330321,1,1,148,"Chetwood, W. R.","The voyages and adventures of Captain Robert Boyle, in several parts of the world",fic
uva.x030809128,1715,1715,1715,1715,,,156048,0.453256456848,0,1,149,"Whiting, John,","Persecution expos'd, in some memoirs relating to the sufferings of John Whiting, and many others of the people called Quakers, for conscience sake, in the west of England, &c.;",bio
hvd.hxj9rx,1722,1722,1722,1722,,,158543,0.359955912535,0,1,149,anonymous14,Memoirs of literature,bio
uc2.ark+=13960=t7xk86t26,1737,1737,1737,1737,,,185399,0.454946948066,0,1,144,"Pöllnitz, Karl Ludwig,","The memoirs of Charles-Lewis, baron de Pollnitz",bio
mdp.39015065792643,1732,1732,1732,1732,,,57030,0.535800231443,1,1,148,"La Motte,",A century of new fables,fic
mdp.39015012332329,1728,1728,1728,1728,,,118885,0.589120785061,1,1,143,"Cervantes Saavedra, Miguel de,","A collection of select novels, written originally in Castillian",fic
hvd.hn4q78,1749,1749,1749,1749,,,235928,0.574824961318,1,1,143,"Cervantes Saavedra, Miguel de,",The life and exploits of the ingenious gentleman Don Quixote de la Mancha,fic
mdp.39015056795324,1749,1749,1749,1749,,,95847,0.542892392432,1,1,144,"Fielding, Henry,",The history of Tom Jones,fic
mdp.39015013141174,1703,1703,1703,1703,,,108242,0.451321495763,0,1,149,"Hoadly, Benjamin,","The reasonableness of conformity to the Church of England, represented to the dissenting ministers",bio
nyp.33433022841005,1715,1715,1715,1715,,,108766,0.411316162755,0,1,149,"Halifax, Charles Montagu,",The works and life of the Right Honourable Charles,bio
mdp.39015063625019,1719,1719,1719,1719,,,16559,0.473481826502,0,1,149,"Theobald,",Memoirs of Sir Walter Raleigh;,bio
mdp.39015010967530,1743,1743,1743,1743,,,56288,0.517870142095,1,1,144,"Fielding, Henry,",Miscellanies,fic
mdp.39015036923608,1735,1735,1735,1735,,,59440,0.593999697152,1,1,149,"Le Sage, Alain René,","The comical history of Estevanille Gonzalez, surnamed the Merry Fellow",fic
hvd.hn3abw,1747,1747,1747,1747,,,135207,0.559170144045,1,1,143,"Cervantes Saavedra, Miguel de,",The life and exploits of the ingenious gentlemen Don Quixote de la Mancha,fic
mdp.39015024467378,1720,1720,1720,1720,,,116684,0.590134770929,1,1,146,"Manley,",Secret memoirs and manners of several persons of quality of both sexes,fic
mdp.39015022401338,1720,1720,1720,1720,,,153878,0.5934273862,1,1,146,"Manley,",Secret memoirs and manners of several persons of quality of both sexes,fic
njp.32101067675015,1750,1750,1750,1750,,,232144,0.441625985851,0,1,147,"Fell, Charles,",The lives of saints,bio
njp.32101068318797,1740,1740,1740,1740,,,32291,0.345173041589,0,1,149,"Ashley, John,",Memoirs and considerations concerning the trade and revenues of the British colonies in America,bio
yale.39002004756376,1737,1737,1737,1737,,,107228,0.466208178432,0,1,144,"Pöllnitz, Karl Ludwig,","The memoirs of Charles-Lewis, Baron de Pöllnitz",bio
mdp.39076006199025,1720,1720,1720,1720,,,126928,0.584726939812,1,1,143,"Defoe, Daniel,","The life, adventures, and pyracies, of the famous Captain Singleton",fic
mdp.39015056795308,1749,1749,1749,1749,,,54649,0.50168518491,1,1,144,"Fielding, Henry,",The history of Tom Jones,fic
mdp.39015060804963,1709,1709,1709,1709,,,35871,0.428053124291,0,1,149,"Temple, William,",Memoirs,bio
mdp.39015078564385,1726,1726,1726,1726,,,71995,0.495907709769,1,1,145,"Swift, Jonathan,",Travels into several remote nations of the world,fic
nnc1.0113360361,1739,1739,1739,1739,,,108299,0.637858380587,1,1,148,"Aubin, Penelope,","A collection of entertaining histories and novels, designed to promote the cause of virtue and honour",fic
mdp.39015011940668,1720,1720,1720,1720,,,134589,0.534920415294,0,1,147,"Brown, Thomas,",The works of Mr. Thomas Brown,bio
hvd.hxvafh,1744,1744,1744,1744,,,103107,0.432322653075,0,1,149,"Mottley, John,",The history of the life and reign of the Empress Catharine,bio
mdp.39015078568592,1727,1727,1727,1727,,,50045,0.569381776772,1,1,145,"Swift, Jonathan,",Travels into several remote nations of the world,fic
mdp.39015078548362,1722,1722,1722,1722,,,111616,0.567353778018,1,1,143,"Defoe, Daniel,",The farther adventures of Robinson Crusoe;,fic
hvd.hn3ak2,1747,1747,1747,1747,,,138791,0.550701103079,1,1,143,"Cervantes Saavedra, Miguel de,",The life and exploits of the ingenious gentlemen Don Quixote de la Mancha,fic
uc1.b182768,1719,1719,1719,1719,,,89139,0.377707444156,0,1,148,"Jacob, Giles,","The poetical register: or, The lives and characters of all the English dramatick poets",bio
uc1.31822035062983,1735,1735,1735,1735,,,211449,0.343538182636,0,1,148,"Collins, Arthur,",The peerage of England,bio
mdp.39015009222772,1734,1734,1734,1734,,,1698123,0.406941396758,0,1,149,"Bayle, Pierre,",The dictionary historical and critical of Mr. Peter Bayle,bio
uc2.ark+=13960=t46q1tv2g,1741,1741,1741,1741,,,85200,0.566489881062,1,1,149,"Lambert de Saumery, Pierre,",The devil turn'd hermit,fic
hvd.hn4q79,1749,1749,1749,1749,,,253155,0.555645900096,1,1,143,"Cervantes Saavedra, Miguel de,",The life and exploits of the ingenious gentleman Don Quixote de la Mancha,fic
mdp.39015013747905,1720,1720,1720,1720,,,94845,0.508180955409,1,1,143,"Defoe, Daniel,",The history of the life and adventures of Mr. Duncan Campbell,fic
njp.32101036892782,1715,1715,1715,1715,,,30071,0.583242972889,1,1,146,"Manley,",The adventures of Rivella;,fic
hvd.hw20o6,1741,1741,1741,1741,,,176109,0.413803281532,0,1,148,"Middleton, Conyers,",The history of the life of Marcus Tullius Cicero,bio
