volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
mdp.39015010378225,1959,1959,1881,1959,,,182265,0.34417473626,0,1,99,"Colum, Padraic,",Arthur Griffith,bio
mdp.39015003676197,1942,1942,1879,1942,,,288416,0.689733587551,1,1,99,"Fletcher, Inglis,",Raleigh's Eden,fic
mdp.39015008851068,1951,1951,1911,1951,,,13772,0.27948525128,0,1,99,"Plumb, J. H. (John Harold),",G. M. Trevelyan,bio
uc1.b3834493,1950,1950,1879,1950,,,85637,0.508488526777,1,1,99,"Franklin, Miles,",Prelude to walking;,fic
mdp.39015065202569,1952,1952,1891,1952,,,190007,0.305037361572,0,1,99,"Sir, Kelly, David Victor,",The ruling few;,bio
mdp.39015004186998,1944,1944,1871,1944,,,194469,0.322122064695,0,1,99,"Baron, Ponsonby, Arthur Ponsonby,","Henry Ponsonby, Queen Victoria's private secretary; his life from his letters",bio
uc1.b4450225,1968,1968,1933,1968,,,92858,0.441162869747,0,1,99,"Sidey, Hugh.",A very personal Presidency;,bio
mdp.39015009177166,1953,1953,1885,1953,,,38225,0.289781592031,0,1,99,"Somervell, D. C. (David Churchill),",Stanley Baldwin;,bio
mdp.39015005721124,1955,1955,1920,1955,,,70486,0.337843130469,0,1,99,"Lewis, Lionel Smithett.",St. Joseph of Arimathea at Glastonbury;,bio
mdp.39015023178356,1946,1946,1891,1946,,,155096,0.267189115214,0,1,99,"McCullough, Bruce Welker,",Representative English novelists: Defoe to Conrad,bio
mdp.39015063817392,1941,1941,1906,1941,,,109974,0.317675557953,0,1,99,"Gavin, Catherine Irvine.","Edward the Seventh, a biography",bio
uc1.b3660560,1969,1969,1905,1969,,,251930,0.281774116861,0,1,99,"Reid, Loren Dudley,",Charles James Fox: a man for the people,bio
mdp.39015003689059,1966,1966,1931,1966,,,54530,0.527484327669,0,1,99,"Scott, Lalla.",Karnée;,bio
mdp.39015051424474,1951,1951,1870,1951,,,161359,0.28131799227,0,1,99,"Jones, Thomas,",Lloyd George,bio
uc1.$b384847,1968,1968,1916,1968,,,195955,0.489664353298,0,1,99,"Stagg, Jerry,",The brothers Shubert,bio
uc1.$b104101,1959,1959,1924,1959,,,77581,0.629710484619,1,1,99,"Packard, Rosalie.",Love in the mist,fic
uc1.b4381470,1952,1952,1909,1952,,,292549,0.653200594535,1,1,99,"Carson, Robert,",The magic lantern,fic
mdp.39015028185141,1949,1949,1902,1949,,,115342,0.222256971735,0,1,99,"Keeton, George Williams,",A Liberal Attorney-General,bio
uc1.$b784311,1946,1946,1911,1946,,,154724,0.499319615934,1,1,99,"Grazebrook, Owen Francis.",Nicanor of Athens;,fic
uc1.$b242363,1965,1965,1922,1965,,,160435,0.271312625506,0,1,99,"Gilbert, Heather,",The life of Lord Mount Stephen,bio
mdp.39015035872152,1940,1940,1892,1940,,,227106,0.270664685893,0,1,99,"Long, John Cuthbert,",Mr. Pitt and America's birthright;,bio
mdp.39015051388695,1942,1942,1882,1942,,,158489,0.338927958959,0,1,99,"Straus, Ralph,",Sala,bio
uc1.b4311105,1952,1952,1882,1952,,,107745,0.321370128104,0,1,99,"Young, G. M. (George Malcolm),",Stanley Baldwin,bio
mdp.39015010216946,1945,1945,1865,1945,,,90180,0.398402786041,0,1,99,"Eckstorm, Fannie Hardy,",Old John Neptune and other Maine Indian shamans,bio
mdp.39015008340146,1943,1943,1886,1943,,,79854,0.308681009534,0,1,99,"Nicolson, Harold,",The desire to please;,bio
uc1.$b251915,1964,1964,1929,1964,,,65430,0.598754207547,1,1,99,"Segal, Israel.",Out of the womb,fic
uc1.$b155171,1965,1965,1930,1965,,,59085,0.491741969725,0,1,99,"Saunders, Garry",Bert Brown of Papua,bio
mdp.39015065840236,1962,1962,1902,1962,,,197151,0.244620693596,0,1,99,"Sir, Wheeler-Bennett, John Wheeler,","John Anderson, viscount Waverley",bio
