floor,accuracy,auc
1725,0.9066666666666666,0.968
1775,0.9066666666666666,0.9660444444444445
1825,0.96,0.9888
1875,0.9533333333333334,0.9861333333333333
1925,0.9666666666666667,0.9980444444444444
1975,0.9466666666666667,0.9912888888888889
