volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
RichSCO2fic,1748,1748,1689,1748,,,101600,0.636551219388,1,1,117,"Richardson, Samuel,",CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE. And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. II.,fic
njp.32101037039284,1715,1715,1715,1715,,,5811,0.373545945144,0,1,119,anonymous9,Some account of the life and writings of ... Thomas Sprat,bio
DefoDSWfic,1702,1702,1661,1702,,,5445,0.481631878905,1,1,110,"Defoe, Daniel,",THE SHORTEST-WAY WITH THE DISSENTERS: OR PROPOSALS FOR THE ESTABLISHMENT OF THE CHURCH.,fic
Anon10BAfic,1710,1710,1685,1710,,,1668,0.537577841829,1,1,119,anonymous2,THE Banby Apes: OR The Monkeys Chattering to the Magpye.,fic
mdp.39015022468642,1706,1706,1706,1706,,,184036,0.375369726719,0,1,118,"Rapin, René.",The whole critical works of Monsieur Rapin,bio
mdp.39015048905510,1714,1714,1714,1714,,,73627,0.345220822492,0,1,119,anonymous8,Memoirs of St. George,bio
nnc1.0112055441,1708,1708,1708,1708,,,60395,0.605497360011,1,1,119,anonymous1,Turkish tales,fic
CareHPDfic,1727,1727,1687,1727,,,4545,0.53021441987,1,1,119,"Carey, Henry,",Pudding and Dumpling Burnt to POT. OR A COMPLEAT KEY TO THE DISSERTATION ON DUMPLING. WHEREIN All the MYSTERY of that dark Treatise is brought to Light; in such a Manner and Method that the meanest Capacity may know who and who's together.,fic
uc2.ark+=13960=t80k27z1j,1738,1738,1738,1738,,,7362,0.435212670768,1,1,119,"Clarke, Alured,","An essay towards the character of Her late Majesty Caroline, Queen-Consort of Great Britain, & c",fic
mdp.39015062931624,1733,1733,1733,1733,,,98685,0.395439900089,0,1,119,"Crusius, Lewis,",Lives of the Roman poets;,bio
njp.32101036892782,1715,1715,1715,1715,,,30071,0.569329284639,1,1,116,"Manley,",The adventures of Rivella;,fic
ArbuJASfic,1728,1728,1667,1728,,,3137,0.485222855911,1,1,116,"Arbuthnot, John,",An ACCOUNT of the State of Learning IN THE Empire of Lilliput.,fic
AulnMMCbio,1702,1702,1655,1702,,,157919,0.521719807075,0,1,119,"Aulnoy, Madame d' (Marie-Catherine),",MEMOIRS OF THE Court of France AND City of Paris: CONTAINING The Intrigues of that Court and the Characters of the Ministers of State and other Officers; Together With the Occurrences of the TOWN.,bio
uc1.31822035066141,1702,1702,1702,1702,,,277398,0.421224851852,0,1,119,anonymous7,The lives of the ancient philosophers,bio
mdp.39076006199025,1720,1720,1720,1720,,,126928,0.575171599806,1,1,110,"Defoe, Daniel,","The life, adventures, and pyracies, of the famous Captain Singleton",fic
mdp.39015063516804,1703,1703,1703,1703,,,46620,0.504096750603,1,1,117,"Boyle, Robert,","Love and religion demonstrated in the martyrdom of Theodora, and of Didymus",fic
uva.x001328302,1739,1739,1739,1739,,,158610,0.44535639582,0,1,116,"Pöllnitz, Karl Ludwig,","The memoirs of Charles-Lewis, Baron de Pollnitz",bio
ucm.5329037873,1736,1736,1736,1736,,,79701,0.616056413646,1,1,119,anonymous5,"Secret memoirs and manners of several persons of quality, of both sexes from the New Atlantis, Island in the Mediteranean ; written originally in italian ; Vol. II",fic
uc2.ark+=13960=t11n80b6b,1733,1733,1733,1733,,,84451,0.456210323197,0,1,118,"Krusiński, Tadeusz Jan,","The history of the late revolutions of Persia taken from the memoirs of Father Krusinski, procurator of the Jesuits at Ispahan ... Done into English, from the original, just publish'd ... at Paris",bio
RichSCOfic,1748,1748,1689,1748,,,106029,0.609469371155,1,1,117,"Richardson, Samuel,",CLARISSA. OR THE HISTORY OF A YOUNG LADY: Comprehending The most Important Concerns of Private LIFE. And particularly shewing The DISTRESSES that may attend the Misconduct Both of PARENTS and CHILDREN In Relation to MARRIAGE. Published by the EDITOR of PAMELA. VOL. I.,fic
mdp.39015004077221,1725,1725,1725,1725,,,437384,0.425453013395,0,1,117,"Boyle, Robert,",The philosophical works of the Honourable Robert Boyle esq,bio
mdp.39015078548024,1734,1734,1734,1734,,,62779,0.606194050667,1,1,119,"Chetwood, W. R.","The voyages, dangerous adventures, and imminent escapes of Capt. Rich. Falconer",fic
mdp.39015062920262,1706,1706,1706,1706,,,31788,0.526451333796,1,1,119,"Phalaris,",The epistles of Phalaris,fic
