volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
10838,1947,1947,1906,1947,m,au,12.755305701900989,0.0212611607062,0,1,"Blunden, Godfrey",A Room on the Route,chirandom | teamblack
10853,1947,1947,0,1947,m,us,11.405495564891563,0.998999194282,1,1,"Heinlein, Robert A.",Rocket ship Galileo,chiscifi | teamred | chirandom
10862,1947,1947,1906,1947,m,us,11.827022877636372,0.0642578747632,0,1,"Myers, John Myers,",The wild Yazoo,teamred | chirandom
10874,1947,1947,1883,1947,,us,12.835299835123967,0.990612202953,1,1,"Taine, John,",The forbidden garden,chiscifi | teamred
10911,1948,1948,0,1948,m,us,12.101839737036792,0.0302118011251,0,1,"Queen, Ellery,",Ten days' wonder,teamblack | chimyst | chirandom | det100 | cozy | stew
10916,1948,1948,1904,1948,m,us,11.972488796113094,0.997661359025,0,1,"Skinner, B. F.",Walden Two,chiutopia | chirandom | teamblack
10917,1948,1948,1890,1948,m,us,14.889579779362608,0.999999965557,1,1,"Smith, E. E.",Skylark three,chiscifi | teamred
10922,1948,1948,1897,1948,m,us,11.702914854192429,0.0390115996366,0,1,"Wilder, Thornton,",The ides of March,teamred | chirandom
10923,1948,1948,1908,1948,m,us,12.445077913483109,0.999576634219,1,1,"Williamson, Jack,",Darker than you think,chiscifi | chifantasy | teamblack | chihorror
10954,1949,1949,1905,1949,m,us,12.382240558653695,0.0259503023248,0,1,"Palmer, Stuart,",Four lost ladies,chimyst | chirandom | teamblack
10968,1949,1949,1896,1949,m,us,12.76713145123696,0.999630542527,1,1,"Zagat, Arthur Leo,",Seven out of time,chiscifi | teamblack
10970,1950,1950,1920,1950,m,us,12.546683017522659,0.999888086657,1,1,"Asimov, Isaac,",I: robot,chiscifi | stew | teamblack
10986,1950,1950,1914,1950,m,us,17.75454145346203,0.00550195000354,0,1,"Fast, Howard,",The proud and the free,chirandom | teamblack
11004,1950,1950,1909,1950,m,us,11.48094391640569,0.999675452933,1,1,"Phillips, Rog,",Worlds within,chiscifi | teamred | chifantasy | stew
11007,1950,1950,1904,1950,f,us,12.547438847869607,0.0254888496179,0,1,"Seton, Anya,",Foxfire,chirandom | teamblack
11013,1950,1950,1912,1950,m,us,12.287371369656078,0.902915377333,1,1,"Van Vogt, A. E. 1912-2000",The house that stood stil,chiscifi | chirandom | teamblack
11030,1927,1927,1882,1927,f,uk,17.369762410660023,0.00780966519042,0,1,"Woolf, Virginia,",To the lighthouse,chirandom | teamblack
11043,1932,1932,1894,1932,m,uk,12.865054236557011,0.58564188851,1,1,"Huxley, Aldous,",Brave new world,chiutopia | chiscifi | teamblack
11044,1932,1932,1894,1932,m,uk,13.80331763850907,0.00749290708794,0,1,"Morgan, Charles,",The fountain,teamred | chirandom
11073,1942,1942,1897,1942,m,uk,12.622539165910672,0.00307126499747,0,1,"Knight, Eric,",Sam Small flies again (Th,chirandom | teamblack
11074,1942,1942,1898,1942,m,uk,14.537500687863846,0.897739823538,0,1,"Lewis, C. S.",The Screwtape letters,chirandom | chifantasy | teamblack
11081,1944,1944,1882,1944,m,uk,10.988569614219802,0.000430664743506,0,1,"Joyce, James,",Stephen hero,teamred | chirandom
11096,1949,1949,1903,1949,m,uk,13.370826302545225,0.961083477733,1,1,"Orwell, George,",Nineteen eighty-four,chiscifi | teamblack
11098,1950,1950,1919,1950,f,uk,14.770426442953555,0.00111051335186,0,1,"Lessing, Doris,",The grass is singing,chimyst | teamred | chirandom | stew
11191,1927,1927,1875,1927,m,uk,13.19781652347118,0.0119577909104,0,1,"Buchan, John,",Witch wood,chirandom | chifantasy | teamblack
11226,1928,1928,1873,1928,m,au,13.414894097916306,0.886657627952,1,1,"Cox, Erle,",Out of the silence,chiscifi | teamblack
11234,1928,1928,1888,1928,m,uk,14.683786574926263,0.00375702482581,0,1,"Knox, Ronald Arbuthnott,",The footsteps at the lock,teamred | chirandom | det100
11242,1928,1928,1874,1928,m,uk,12.897736280413536,0.926963973909,1,1,"Wright, S. Fowler,",The island of Captain Spa,chiscifi | teamred | chifantasy
11277,1929,1929,1875,1929,m,uk,11.930151726687306,0.000241323224799,0,1,"Wallace, Edgar,",The lone house mystery,chimyst | stew | chirandom | teamblack
11298,1930,1930,1882,1930,m,au,15.504811194674193,0.00206612901313,0,1,"Manning, Frederic,",Her privates: we,chirandom | teamblack
11305,1930,1930,1886,1930,m,uk,15.807213592749667,0.999999602932,1,1,"Stapledon, Olaf,",Last and first men,chiscifi | teamred | stew
11316,1931,1931,1882,1931,m,uk,13.62848302699404,0.0155657940035,0,1,"Armstrong, Martin,",The romantic adventures o,chirandom | teamblack
11323,1931,1931,1880,1931,m,uk,12.472625104177311,0.00530850172177,0,1,"Connington, J. J.",The boathouse riddle,chimyst | chirandom | teamblack
