volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
10008,1923,1923,1875,1923,m,us,12.753028573764876,0.979524152636,1,1,"Burroughs, Edgar Rice,",Pellucidar,chiscifi | stew | teamred
10053,1928,1928,1875,1928,m,us,13.993864060792692,0.978944650219,1,1,"Burroughs, Edgar Rice,",The master mind of Mars,chiscifi | teamblack
10083,1930,1930,1875,1930,m,us,14.59300849767979,0.991949830547,1,1,"Burroughs, Edgar Rice,",Tarzan at the earth's cor,chiscifi | chifantasy | teamred
10086,1930,1930,1862,1930,m,us,13.65525017629752,0.368045868006,0,1,"Stratemeyer, Edward,",With Taylor on the Rio Gr,chirandom | teamblack
10090,1931,1931,1887,1931,m,us,10.966917073011846,0.999451392518,1,1,"Cummings, Ray,",Brigands of the moon,chiscifi | teamblack
10096,1931,1931,1884,1931,m,us,12.686190967434923,0.972798635833,1,1,"Merritt, Abraham,",Face in the abyss,chiscifi | teamred
10181,1946,1946,1905,1946,f,us,12.022415406300103,0.911557391811,1,1,"Rand, Ayn,",Anthem,chiscifi | teamred
10202,1950,1950,1909,1950,m,us,13.19390350885388,0.0297811211445,0,1,"Castor, Henry,",The year of the Spaniard,chirandom | teamred
10235,1925,1925,1875,1925,m,us,12.704924523264463,0.664412229335,1,1,"Burroughs, Edgar Rice,",The moon men,chiscifi | stew | teamblack
10269,1927,1927,1876,1927,f,us,11.606560230966023,0.0828275992015,0,1,"Glaspell, Susan,",A jury of her peers,chirandom | teamred | chimyst
10270,1927,1927,1865,1927,f,us,12.352483130842243,0.040394798417,0,1,"Hill, Grace Livingston,",Job's niece,chirandom | teamblack
10301,1929,1929,1875,1929,m,us,13.972075284564227,0.942226049356,1,1,"Burroughs, Edgar Rice,",Tanar of Pellucidar,chiscifi | stew | teamred
10302,1929,1929,1875,1929,m,us,13.540898759202483,0.860627259046,1,1,"Burroughs, Edgar Rice,",The monster men,chiscifi | stew | teamred
10310,1929,1929,1891,1929,m,us,13.416188875680884,0.995537352372,1,1,"Kline, Otis Adelbert,",The planet of peril,chiscifi | stew | teamblack
10312,1929,1929,1885,1929,m,us,15.533388096208158,0.0118491379478,0,1,"Lewis, Sinclair,",Dodsworth,chirandom | teamblack
10336,1930,1930,1891,1930,m,us,15.17521984756884,0.99933216752,1,1,"Kline, Otis Adelbert,",Maza of the moon,chiscifi | stew | teamred
10337,1930,1930,1891,1930,m,us,13.923613856297479,0.996663906867,1,1,"Kline, Otis Adelbert,",The prince of peril,chiscifi | teamblack
10353,1931,1931,1865,1931,f,us,13.416108652587878,0.00806916793452,0,1,"Hill, Grace Livingston,",The chance of a lifetime,chirandom | teamred
10355,1931,1931,1896,1931,m,us,11.705205792217711,0.930164440393,1,1,"Leinster, Murray,",Murder madness,chiscifi | teamblack
10357,1931,1931,1884,1931,m,us,12.687421658258257,0.972815262652,1,1,"Merritt, Abraham,",The face in the abyss,chiscifi | chifantasy | teamblack
10361,1931,1931,1895,1931,m,us,13.11816130109724,0.625741008282,1,1,"Schuyler, George S.",Black no more,chiscifi | teamblack
10362,1931,1931,1892,1931,m,us,11.791761684442562,0.279594923296,1,1,"Smith, Thorne,",The night life of the god,chiscifi | chifantasy | teamblack
10377,1932,1932,1896,1932,m,us,11.009967563188155,0.00539237241796,0,1,"Dos Passos, John,",1919,chirandom | teamred
10476,1935,1935,1885,1935,m,us,16.85492821458102,0.28943788098,1,1,"Lewis, Sinclair,",It can't happen here,chiscifi | teamred
10526,1937,1937,1866,1937,m,us,13.495206493755008,0.995373735912,1,1,"Pseudoman, Akkad,",Zero to eighty,chiscifi | chirandom | teamblack
10531,1937,1937,1902,1937,m,us,10.462682101355872,0.0531024580493,0,1,"Steinbeck, John,",Of mice and men,chirandom | teamred
10542,1938,1938,1875,1938,m,us,12.59475790726507,0.33489166049,1,1,"Burroughs, Edgar Rice,",The lad and the lion,chiscifi | teamred
10645,1941,1941,1884,1941,m,us,13.051396688450172,0.999727789193,1,1,"Merritt, Abraham,",The metal monster,chiscifi | stew | teamred
10679,1942,1942,1884,1942,m,us,11.726379573831798,0.561626230977,1,1,"Merritt, Abraham,",Burn: witch: burn!,chiscifi | stew | teamred | chimyst
10690,1942,1942,1876,1942,f,us,12.453874992994349,0.0721325676037,0,1,"Rinehart, Mary Roberts,",The door,chirandom | teamred | chimyst
10733,1944,1944,1915,1944,f,us,10.641923482009876,0.0324581114708,0,1,"Brackett, Leigh,",No good from a corpse,chirandom | teamred | chimyst
10736,1944,1944,1875,1944,m,us,13.110785777626788,0.940044917456,1,1,"Burroughs, Edgar Rice,",Land of terror,chiscifi | chifantasy | teamred
10761,1944,1944,1905,1944,f,us,10.383677182194212,0.00249101974035,0,1,"Walker, Mildred",Winter wheat,chirandom | teamred
10793,1945,1945,1874,1945,f,us,17.54665134480735,0.108094884854,0,1,"Stein, Gertrude,",Wars I have seen,chirandom | teamred
10803,1946,1946,1903,1946,m,us,12.278526825391747,0.0592069146893,0,1,"Busch, Niven,",Day of the conquerors,chirandom | teamblack
10808,1946,1946,1887,1946,m,us,10.850265659086698,0.996280898675,1,1,"Cummings, Ray,",The shadow girl,chiscifi | teamblack
10827,1946,1946,1898,1946,m,us,12.034152670252487,0.633077817098,1,1,"Sherman, Harold M.",The green man,chiscifi | stew | teamblack
10829,1946,1946,1883,1946,,us,12.189152787414256,0.996653075404,1,1,"Taine, John,",The time stream,chiscifi | stew | teamred
10832,1946,1946,0,1946,,us,13.470082105981064,0.999220274886,1,1,"Van Vogt, A. E. 1912-  (A",Slan,chiscifi | stew | teamblack
10834,1946,1946,1903,1946,m,us,12.89808713920296,0.99697826815,1,1,"Wellman, Manly Wade,",The solar invasion,chiscifi | teamred
10835,1946,1946,1909,1946,f,us,14.096753978414565,0.00653635387995,0,1,"Welty, Eudora,",Delta Wedding,chirandom | teamblack
10838,1947,1947,1906,1947,m,au,12.755305701900989,0.134181861621,0,1,"Blunden, Godfrey",A Room on the Route,chirandom | teamblack
10853,1947,1947,0,1947,m,us,11.405495564891563,0.953438849025,1,1,"Heinlein, Robert A.",Rocket ship Galileo,chiscifi | chirandom | teamred
10862,1947,1947,1906,1947,m,us,11.827022877636372,0.154930161403,0,1,"Myers, John Myers,",The wild Yazoo,chirandom | teamred
10874,1947,1947,1883,1947,,us,12.835299835123967,0.97113305384,1,1,"Taine, John,",The forbidden garden,chiscifi | teamred
10911,1948,1948,0,1948,m,us,12.101839737036792,0.160669132911,0,1,"Queen, Ellery,",Ten days' wonder,teamblack | det100 | stew | chimyst | cozy | chirandom
10916,1948,1948,1904,1948,m,us,11.972488796113094,0.966141848852,0,1,"Skinner, B. F.",Walden Two,chirandom | chiutopia | teamblack
10917,1948,1948,1890,1948,m,us,14.889579779362608,0.999946350238,1,1,"Smith, E. E.",Skylark three,chiscifi | teamred
10922,1948,1948,1897,1948,m,us,11.702914854192429,0.283263580332,0,1,"Wilder, Thornton,",The ides of March,chirandom | teamred
10923,1948,1948,1908,1948,m,us,12.445077913483109,0.939297274616,1,1,"Williamson, Jack,",Darker than you think,chiscifi | chifantasy | chihorror | teamblack
10954,1949,1949,1905,1949,m,us,12.382240558653695,0.156203573634,0,1,"Palmer, Stuart,",Four lost ladies,chirandom | teamblack | chimyst
10968,1949,1949,1896,1949,m,us,12.76713145123696,0.994458144732,1,1,"Zagat, Arthur Leo,",Seven out of time,chiscifi | teamblack
10970,1950,1950,1920,1950,m,us,12.546683017522659,0.989836594784,1,1,"Asimov, Isaac,",I: robot,chiscifi | stew | teamblack
10986,1950,1950,1914,1950,m,us,17.75454145346203,0.0750476859499,0,1,"Fast, Howard,",The proud and the free,chirandom | teamblack
11004,1950,1950,1909,1950,m,us,11.48094391640569,0.991827693464,1,1,"Phillips, Rog,",Worlds within,chiscifi | stew | chifantasy | teamred
11007,1950,1950,1904,1950,f,us,12.547438847869607,0.0627882985539,0,1,"Seton, Anya,",Foxfire,chirandom | teamblack
11013,1950,1950,1912,1950,m,us,12.287371369656078,0.713231452138,1,1,"Van Vogt, A. E. 1912-2000",The house that stood stil,chiscifi | chirandom | teamblack
11018,1923,1923,1866,1923,m,uk,11.301575751494534,0.959466362538,1,1,"Wells, H. G.",Men like gods,chiscifi | stew | teamred
11030,1927,1927,1882,1927,f,uk,17.369762410660023,0.0700629644148,0,1,"Woolf, Virginia,",To the lighthouse,chirandom | teamblack
11043,1932,1932,1894,1932,m,uk,12.865054236557011,0.773902245213,1,1,"Huxley, Aldous,",Brave new world,chiscifi | chiutopia | teamblack
11044,1932,1932,1894,1932,m,uk,13.80331763850907,0.0748381724453,0,1,"Morgan, Charles,",The fountain,chirandom | teamred
11074,1942,1942,1898,1942,m,uk,14.537500687863846,0.932567532809,0,1,"Lewis, C. S.",The Screwtape letters,chirandom | chifantasy | teamblack
11081,1944,1944,1882,1944,m,uk,10.988569614219802,0.036606817857,0,1,"Joyce, James,",Stephen hero,chirandom | teamred
11096,1949,1949,1903,1949,m,uk,13.370826302545225,0.90865307961,1,1,"Orwell, George,",Nineteen eighty-four,chiscifi | teamblack
11098,1950,1950,1919,1950,f,uk,14.770426442953555,0.0413000360987,0,1,"Lessing, Doris,",The grass is singing,stew | chirandom | teamred | chimyst
11156,1925,1925,1862,1925,m,uk,12.920154834786734,0.114177003275,0,1,"Phillpotts, Eden,",A voice from the dark,stew | chirandom | det100 | teamblack
11191,1927,1927,1875,1927,m,uk,13.19781652347118,0.0572760054745,0,1,"Buchan, John,",Witch wood,chirandom | chifantasy | teamblack
11226,1928,1928,1873,1928,m,au,13.414894097916306,0.869668360701,1,1,"Cox, Erle,",Out of the silence,chiscifi | teamblack
11234,1928,1928,1888,1928,m,uk,14.683786574926263,0.0643485612971,0,1,"Knox, Ronald Arbuthnott,",The footsteps at the lock,chirandom | det100 | teamred
11242,1928,1928,1874,1928,m,uk,12.897736280413536,0.833966246733,1,1,"Wright, S. Fowler,",The island of Captain Spa,chiscifi | chifantasy | teamred
11274,1901,1929,1865,1901,m,uk,26.63508405584425,0.673524884791,1,1,"Shiel, M. P.",The purple cloud,chiscifi | chifantasy | teamblack
11277,1929,1929,1875,1929,m,uk,11.930151726687306,0.0315306173728,0,1,"Wallace, Edgar,",The lone house mystery,stew | chirandom | teamblack | chimyst
11298,1930,1930,1882,1930,m,au,15.504811194674193,0.0634854411145,0,1,"Manning, Frederic,",Her privates: we,chirandom | teamblack
11305,1930,1930,1886,1930,m,uk,15.807213592749667,0.999981932781,1,1,"Stapledon, Olaf,",Last and first men,chiscifi | stew | teamred
11316,1931,1931,1882,1931,m,uk,13.62848302699404,0.200663168102,0,1,"Armstrong, Martin,",The romantic adventures o,chirandom | teamblack
11323,1931,1931,1880,1931,m,uk,12.472625104177311,0.0248627043057,0,1,"Connington, J. J.",The boathouse riddle,chirandom | teamblack | chimyst
11349,1931,1931,1886,1931,m,uk,13.7856672984674,0.630440762479,0,1,"Williams, Charles,",Many dimensions,chirandom | teamblack
11364,1932,1932,1909,1932,f,uk,12.052262008304899,0.000161125691563,0,1,"Evans, Margiad,",Country dance,chirandom | teamred
11383,1932,1932,1899,1932,m,uk,11.667734527339945,0.0151282647246,0,1,"Shute, Nevil,",Lonely road,chirandom | teamred
11385,1932,1932,1886,1932,m,uk,16.087758651066157,0.998343337498,1,1,"Stapledon, Olaf,",Last men in London,chiscifi | teamred
11396,1933,1933,1879,1933,f,au,11.973116871905223,0.113727259575,0,1,"Franklin, Miles,",Bring the monkey,chirandom | teamred | chimyst
11469,1935,1935,1891,1935,m,au,11.452983100794771,0.0879890068465,0,1,"McKinney, J. P,",Crucible,chirandom | teamred
11519,1937,1937,1904,1937,f,uk,11.69800155371878,0.077876249421,0,1,"Allingham, Margery,",Dancers in mourning,cozy | chirandom | teamred | chimyst
