volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
loc.ark+=13960=t57d3p237,1893,1893,1828,1893,f,us,22.62069250918276,0.366952686152,0,1,"Roberts, Betsey Ann Smith.",Original poems,random
loc.ark+=13960=t5cc1g772,1871,1871,1819,1871,m,us,24.70912786076705,0.545186018694,1,1,"Greene, William Batchelder,",Imogen,reviewed
loc.ark+=13960=t5fb5nd8n,1887,1887,1819,1887,m,us,24.71928570158438,0.330239077711,0,1,"Paxton, W. M.",Poems,random
loc.ark+=13960=t5k93n92j,1884,1884,1831,1884,m,us,23.541189970594274,0.587877731956,0,1,"Baxter, James Phinney,",Idyls of the year,random
loc.ark+=13960=t5k93s659,1894,1894,1844,1894,m,us,26.714801768722154,0.670257199445,1,1,"Williams, Francis Howard,",The flute-player and other poems,reviewed
loc.ark+=13960=t5n881k59,1878,1878,1847,1878,m,us,31.62498630594391,0.656096073228,1,1,"Fawcett, Edgar,",Fantasy and passion,reviewed
loc.ark+=13960=t5r78vg3h,1881,1881,1850,1881,f,us,19.963568198164197,0.497573347731,1,1,"Innsly, Owen,",Love poems and sonnets,reviewed
loc.ark+=13960=t5s75wn6s,1874,1874,0,1874,,,21.91081370070994,0.602796085052,1,1,"Hudson, H. R.",Poems,reviewed
loc.ark+=13960=t5t72zr45,1879,1879,1863,1879,f,us,28.59530859146079,0.73196852363,0,1,"Eastman, Elaine Goodale,",In Berkshire with the wild flowers,random
loc.ark+=13960=t63495d13,1892,1893,1845,1892,m,us,29.83663889704402,0.462141409392,0,1,"Carleton, Will,",City festivals,random
loc.ark+=13960=t6543bf6c,1894,1894,1862,1894,m,us,26.43041142644056,0.67519439532,1,1,"Rogers, Robert Cameron,",The wind in the clearing,reviewed
loc.ark+=13960=t6737bz3f,1872,1872,1817,1872,f,us,27.221462270223032,0.294389118843,0,1,"Ramsey, V. G.",A legend of the White Hills,random
loc.ark+=13960=t6k07vz1r,1890,1890,0,1890,m,us,19.553187904032296,0.399358629946,0,1,"Stone, Jasper Jay. [from old catalog]",The veteran's qualifications for civil service,random
loc.ark+=13960=t6n01p000,1886,1886,1856,1886,m,us,24.45520467319945,0.463077926708,0,1,"Hale, William,",Shore life in song,random
loc.ark+=13960=t6pz5tc3h,1894,1894,1862,1894,m,us,30.59664265080054,0.575355754638,1,1,"Parker, Gilbert,",A lover's diary,reviewed
loc.ark+=13960=t6tx46241,1872,1872,1826,1872,f,us,27.052501532572585,0.541331616092,1,1,"Turner, Eliza (Sproat)",Out-of-door rhymes,reviewed
loc.ark+=13960=t7dr3b23n,1871,1871,1835,1871,m,us,26.16806073649518,0.39598002797,0,1,"Le Cato, N. J. W.",Theodora and other poems,random
loc.ark+=13960=t7kp8gj8r,1893,1893,1856,1893,f,us,10.203826686476903,0.700538652725,1,1,"Granniss, Anna J.","Skipped stitches, verses",reviewed
loc.ark+=13960=t7vm4v20f,1887,1887,1824,1887,m,us,27.922818250099894,0.344184543794,0,1,"Williams, Dwight,","The beautiful city in song, and other poems",random
loc.ark+=13960=t80k2xx3b,1870,1870,0,1870,m,us,20.030960998424113,0.415100081926,0,1,"Henck, George Lewis. [from old catalog]",Poems,random
