docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
njp.32101074032044,1700,1700,1700,,bio,<blank>,,,Epictetus.,Epictetus his morals
mdp.39015047759454,1700,1700,1700,,poe,,,,"Brome, Charles,",To the memory of Mr. Dryden
mdp.39015084592289,1700,1700,1700,,poe,,,,,Luctus britannici
mdp.39015086635185,1700,1700,1700,,poe,,,,,A new session of the poets
uc1.32106001529731,1700,1700,1700,,poe,,,,,The Oxford book of Greek verse in translation
njp.32101067675031,1701,1701,1701,,bio,<blank>,,,"Le Clerc, Jean,","The lives of the primitive fathers, viz, Clemens Alexandrinus, Eusebius, bishop of Cæsarea, Gregory Nazianzen, and Prudentius"
mdp.39015030832490,1701,1701,1701,,bio,<blank>,,,"Blomberg, Karl Johann von,",An account of Livonia
uc2.ark+=13960=t0js9xc1p,1702,1702,1702,,fic,,,,,"The infernal wanderer; or, The Devil ranging upon earth"
mdp.39015014822228,1702,1702,1702,,bio,<blank>,,,"Guthry, Henry,",Memoirs of Henry Guthry
uc1.31822035066141,1702,1702,1702,,bio,<blank>,,,<blank>,The lives of the ancient philosophers
mdp.39015065167630,1702,1702,1702,,bio,<blank>,,,"Welwood, James,",Memoirs of the most material transactions in England
mdp.39015026114564,1702,1702,1702,,bio,<blank>,,,"Bacon, Francis,",Letters of Sr Francis Bacon ... written during the reign of King James the First
njp.32101067566891,1702,1702,1702,,poe,,,,"Quevedo, Francisco de,",The visions of Dom Francisco de Quevedo. Villegas
nnc1.0023351888,1702,1702,1702,,poe,,,,"Sedley, Charles,","The Miscellaneous Works Of the Honourable Sir Charles Sedley, Bart"
nyp.33433076036411,1702,1702,1702,,poe,v. 1,,,"Dryden, John,",Miscellany poems
nyp.33433076037500,1702,1702,1702,,poe,,,,,A Collection of poems;
mdp.39015030155215,1703,1703,1703,,fic,,,,"La Calprenède, Gaultier de Coste,",The famous history of Cassandra
mdp.39015063516804,1703,1703,1703,,fic,,,,"Boyle, Robert,","Love and religion demonstrated in the martyrdom of Theodora, and of Didymus"
mdp.39015009144422,1703,1703,1703,,fic,,,,"Fernández, Jerónimo.",The honour of chivalry
uc1.31822038199097,1703,1703,1703,,fic,,,,"Tutchin, John,","The second part of the mouse grown a rat, or, The story of the city and country mouse"
mdp.39015013141174,1703,1703,1703,,bio,<blank>,,,"Hoadly, Benjamin,","The reasonableness of conformity to the Church of England, represented to the dissenting ministers"
mdp.39015063882669,1703,1703,1703,,bio,<blank>,,,"Burchett, Josiah,",Memoirs of transactions at sea during the war with France;
mdp.39015007003844,1703,1703,1703,,poe,,,,"Chudleigh, Mary Lee,",Poems on several occasions
mdp.39015063946837,1703,1703,1703,,poe,,,,"Oldham, John,",The works of Mr. John Oldham
njp.32101036892055,1703,1703,1703,,poe,,,,"Herbert, George,",The temple
nyp.33433067286165,1704,1704,1704,,bio,<blank>,,,"Perrault, Charles,","Characters historical and panegyrical of the greatest men that have appear'd in France, during the last century"
nyp.33433061843755,1704,1704,1704,,bio,v. 2,,,<blank>,"Lives, English and forein"
nyp.33433061843748,1704,1704,1704,,bio,v. 1,,,<blank>,"Lives, English and forein"
mdp.39015078569384,1704,1704,1704,,poe,,,,"King, William,",Some remarks on the Tale of a tub
wu.89004565487,1705,1705,1705,,bio,<blank>,,,"Strype, John,","The life of the learned Sir John Cheke, kt.;"
hvd.32044107229593,1705,1705,1705,,poe,,,,"Waldtschmiedt, Eilhelm Ulrich,",Aloen americanam
mdp.39015063941093,1705,1705,1705,,poe,,,,,A New collection of poems relating to state affairs
hvd.hxjh5g,1706,1706,1706,,fic,,,,,"The history of George a Green, pindar of the town of Wakefield"
mdp.39015062920262,1706,1706,1706,,fic,,,,"Phalaris,",The epistles of Phalaris
njp.32101013169964,1706,1706,1706,,bio,<blank>,,,<blank>,"Secret memoirs of Robert Dudley, earl of Leicester, prime minister and favourite of Queen Elizabeth"
mdp.39015022468642,1706,1706,1706,,bio,v.1,,,"Rapin, René.",The whole critical works of Monsieur Rapin
mdp.39015031287546,1706,1706,1706,,bio,<blank>,,,"Cavendish, George,","The memoirs of that great favourite, Cardinal Woolsey;"
mdp.39015005344604,1706,1706,1706,,bio,v.2,,,"Rapin, René.",The whole critical works of Monsieur Rapin
mdp.39015065581707,1706,1706,1706,,poe,,,,"Nivardus,",The crafty courtier;
mdp.39015031231825,1706,1706,1706,,poe,,,,"D'Urfey, Thomas,","Stories, moral and comical. Viz"
hvd.hn3ne4,1707,1707,1707,,poe,v.1,,,"Cowley, Abraham,",The works of Mr. Abraham Cowley
njp.32101068312121,1708,1708,1708,,fic,,,,"Aulnoy,",Memoirs of the court of England : in the reign of King Charles II
dul1.ark+=13960=t6m04z31z,1708,1708,1708,,fic,v.1,,,"Alemán, Mateo,","The life of Guzman d'Alfarache, or, The Spanish rogue"
