docid,firstpub,date,birthdate,recept,tags,enumcron,nationality,gender,author,title
mdp.39015036670894,1732,1732,1732,,fic,,,,,The fair concubine
mdp.39015065780689,1727,1727,1727,,fic,v.2,,,"Scarron,",The whole comical works of Mons. Scarron
njp.32101067675023,1750,1750,1750,,bio,vol.4,,,"Fell, Charles,",The lives of saints
nnc1.0038590972,1747,1747,1747,,bio,v.2,,,<blank>,Memoirs of the Nutrebian court
mdp.39015078545780,1729,1729,1729,,fic,,,,"Bignon, Jean Paul,","The adventures of Abdalla, son of Hanif"
mdp.39015078548511,1723,1723,1723,,fic,,,,,Memoirs of the life of Scriblerus
nyp.33433008488060,1750,1750,1750,,bio,v. 1,,,"Campbell, John,",Lives of the admirals and other eminent British seamen
uc2.ark+=13960=t10p1b78g,1742,1742,1742,,fic,v.1,,,,The life and exploits of the ingenious gentleman Don Quixote de la Mancha
hvd.hn3aby,1749,1749,1749,,fic,v.2,,,"Cervantes Saavedra, Miguel de,",The history of the renowned Don Quixote de la Manha
mdp.39015063516804,1703,1703,1703,,fic,,,,"Boyle, Robert,","Love and religion demonstrated in the martyrdom of Theodora, and of Didymus"
uc2.ark+=13960=t80k27z1j,1738,1738,1738,,fic,,,,"Clarke, Alured,","An essay towards the character of Her late Majesty Caroline, Queen-Consort of Great Britain, & c"
njp.32101072914839,1745,1745,1745,,fic,vol.2,,,"Caylus, Anne Claude Philippe,",Oriental tales
mdp.39015074633259,1742,1742,1742,,non,v.1,,,<blank>,The philosophical history and memoirs of the Royal academy of sciences at Paris
nyp.33433061843508,1743,1743,1743,,bio,<blank>,,,<blank>,"An historical, genealogical, and classical dictionary"
mdp.39015063962602,1714,1714,1714,,bio,<blank>,,,"Boyer, Abel,","Memoirs of the life and negotiations of Sir W. Temple, bar"
njp.32101067676567,1725,1725,1725,,bio,<blank>,,,"Whitehead, George,","The Christian progress of that ancient servant and minister of Jesus Christ, George Whitehead"
mdp.39015063608122,1745,1745,1745,,bio,v.2,,,"Ayre, William.","Memoirs of the life and writings of Alexander Pope, esq.;"
mdp.39015082365449,1720,1720,1720,,bio,v.5,,,"Brown, Thomas,",The works of Mr. Thomas Brown
yale.39002035104224,1748,1748,1748,,bio,<blank>,,,<blank>,"Memoirs of the life and times of Sir Thomas Deveil, Knight"
mdp.39015065800560,1736,1736,1736,,fic,v.7,,,"La Calpren̬de, Gaultier de Coste,",Hymen's praeludia
njp.32101067674992,1750,1750,1750,,bio,vol.1,,,"Fell, Charles,",The lives of saints
dul1.ark+=13960=t9x06zn4z,1719,1719,1719,,fic,,,,"Aulnoy,",The Prince of Carency;
mdp.39015004077221,1725,1725,1725,,bio,v.3,,,"Boyle, Robert,",The philosophical works of the Honourable Robert Boyle esq
mdp.39015014659604,1727,1727,1727,,bio,<blank>,,,"Oldmixon,",Clarendon and Whitlock compar'd
mdp.39015065800578,1736,1736,1736,,fic,v.6,,,"La Calpren̬de, Gaultier de Coste,",Hymen's praeludia
mdp.39015035860348,1732,1732,1732,,bio,<blank>,,,"Collins, Arthur,","The life of that great statesman William Cecil, lord Burghley, secretary of state in the reign of King Edward the Sixth, and lord high treasurer of England in the reign of Queen Elizabeth"
mdp.39015011940783,1720,1720,1720,,bio,v.3,,,"Brown, Thomas,",The works of Mr. Thomas Brown
mdp.39015078561266,1743,1743,1743,,fic,,,,"Defoe, Daniel,","The pleasant, and surprizing adventures of Mr. Robert Drury, during his fifteen years captivity on the island of Madagascar"
mdp.39015067087968,1710,1710,1710,,fic,,,,,"A true and faithful account of the last distemper and death of Tom. Whigg, Esq., who departed this life on the 22d day of September last, Anno Domini 1710"
hvd.hxj3tf,1736,1736,1736,,bio,<blank>,,,"Gyles, John,","Memoirs of odd adventures, strange deliverances, &c. in the captivity of John Gyles, Esq; commander of the garrison on St. George's River"
uc2.ark+=13960=t01z42z14,1743,1743,1743,,bio,v.1,,,"Lediard, Thomas,","The life of John, Duke of Marlborough"
mdp.39015065496005,1735,1735,1735,,bio,<blank>,,,"Kennett, Basil,",The lives and characters of the ancient Grecian poets
mdp.39015063548047,1743,1743,1743,,bio,<blank>,,,"Defoe, Daniel,",The memoirs of Cap. George Carleton
njp.32101068163342,1715,1715,1715,,fic,vol.2,,,"Ainsworth, William Harrison,","Preston fight; or, The insurrection of 1715"
ucm.5329215008,1744,1744,1744,,fic,,,,"Jurin, James,","An epistle to John Ranby ... on the subject of his narrative of the last illness of the late Earl of Orford as far as it relates to Sir Edward Hulse, Dr. Jurin, and Dr. Crowe"
njp.32101037603568,1732,1732,1732,,fic,,,,"Oldmixon,","Court tales: or, A history of the amours of the present nobility"
hvd.hxj9s3,1722,1722,1722,,bio,v.6,,,<blank>,Memoirs of literature
njp.32101068776283,1732,1732,1732,,fic,vol. 1,,,"Terrasson, Jean,",The life of Sethos
uc2.ark+=13960=t6154gt6f,1726,1726,1726,,bio,v.2,,,"Ker, John,","The memoirs of John Ker, of Kersland in North Britain, Esq"
mdp.39015063608106,1745,1745,1745,,bio,v.1,,,"Ayre, William.","Memoirs of the life and writings of Alexander Pope, esq.;"
uc2.ark+=13960=t7sn04h6p,1720,1720,1720,,bio,<blank>,,,"Jacob, Giles,","An historical account of the lives and writings of our most considerable English poets, whether epick, lyrick, elegiack, epigramatists, &"
uc2.ark+=13960=t7br8qz2n,1736,1736,1736,,bio,<blank>,,,"Bacon, Francis,",Original letters and memoirs
mdp.39015056795340,1749,1749,1749,,fic,v.5,,,"Fielding, Henry,",The history of Tom Jones
mdp.39015030685575,1722,1722,1722,,fic,v.3,,,"Aulnoy,",A collection of novels and tales of the fairies
njp.32101069179248,1743,1743,1743,,fic,vol. 2,,,"Gomez,",La belle assembl̩e
mdp.39015065800552,1736,1736,1736,,fic,v.8,,,"La Calpren̬de, Gaultier de Coste,",Hymen's praeludia
nnc1.0022918116,1739,1739,1739,,bio,<blank>,,,<blank>,"The History of the life and death of Sultan Solyman the Magnificent, Emperor of the Turks and of his son Mustapha"
uva.x002650137,1739,1739,1739,,bio,V.4,,,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, Baron de Pollnitz"
hvd.hxj9rz,1722,1722,1722,,bio,v.3,,,<blank>,Memoirs of literature
yale.39002085617992,1732,1732,1732,,bio,<blank>,,,"Crokatt, Gilbert,",The Scotch Presbyterian eloquence;
hvd.hxe6c4,1748,1748,1748,,bio,<blank>,,,"Towgood, Micaiah,",An essay towards attaining a true idea of the character and reign of King Charles the First and the causes of the civil war
mdp.39015078548396,1719,1719,1719,,fic,,,,"Defoe, Daniel,","The life, and strange surprizing adventures of Robinson Crusoe, of York, mariner"
mdp.39015073762943,1721,1721,1721,,bio,<blank>,,,"Bulstrode, Richard,","Memoirs and reflections upon the reign and government of King Charles the 1st. and K. Charles the IId ... wherein the character of the royal martyr, and of King Charles II. are vindicated from fanatical aspersions"
mdp.39015078558361,1719,1719,1719,,fic,,,,"Evans, Ambrose.","The adventures and surprizing deliverances, of James Dubourdieu, and his wife"
mdp.39015063882669,1703,1703,1703,,bio,<blank>,,,"Burchett, Josiah,",Memoirs of transactions at sea during the war with France;
hvd.hn3abx,1749,1749,1749,,fic,v.3,,,"Cervantes Saavedra, Miguel de,",The history of the renowned Don Quixote de la Manha
mdp.39015026498389,1737,1737,1737,,bio,v.1,,,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, baron de Pollnitz"
mdp.39015063599024,1732,1732,1732,,bio,<blank>,,,"Budgell, Eustace,","Memoirs of the life and character of the late earl of Orrery, and of the family of the Boyles"
dul1.ark+=13960=t9184177s,1749,1749,1749,,fic,v.1,,,"Smollett, T.",The history and adventures of an atom
hvd.hxjh5g,1706,1706,1706,,fic,,,,,"The history of George a Green, pindar of the town of Wakefield"
mdp.39015066957310,1714,1714,1714,,fic,,,,Petronius Arbiter.,The works of Petronius Arbiter
mdp.39015078564393,1726,1726,1726,,fic,c.2 v.2,,,"Swift, Jonathan,",Travels into several remote nations of the world
ucm.5329214998,1745,1745,1745,,fic,,,,,"An expostulatory address to John Ranby ... occasioned by his Treatise on gunshot-wounds, and his Narrative of the Earl of Orford's last illness"
mdp.39015078548610,1727,1727,1727,,fic,,,,"Brunt, Samuel,",A voyage to Cacklogallinia
nnc1.cu55826229,1714,1714,1714,,fic,,,,"Lucas, Theophilus,","Memoirs of the lives, intrigues, and comical adventures of the most famous gamesters and celebrated sharpers in the reigns of Charles II, James II, William III and Queen Anne"
njp.32101067499408,1727,1727,1727,,bio,<blank>,,,"[Jebb, Samuel]","The life of Robert, earl of Leicester, the favourite of Queen Elizabeth"
mdp.39015065800602,1736,1736,1736,,fic,v.3,,,"La Calpren̬de, Gaultier de Coste,",Hymen's praeludia
dul1.ark+=13960=t53f5fj6x,1709,1709,1709,,fic,v.2,,,"Manley,","Secret memoirs and manners of several persons of quality, of both sexes. From the New Atalantis, an island in the Mediteranean. Written originally in Italian"
njp.32101068312121,1708,1708,1708,,fic,,,,"Aulnoy,",Memoirs of the court of England : in the reign of King Charles II
mdp.39015010967548,1743,1743,1743,,fic,v.3,,,"Fielding, Henry,",Miscellanies
njp.32101073816918,1743,1743,1743,,bio,vol.2,,,"Lediard, Thomas,","The life of John, Duke of Marlborough"
mdp.39015065800628,1736,1736,1736,,fic,v.1,,,"La Calpren̬de, Gaultier de Coste,",Hymen's praeludia
mdp.39015065870019,1727,1727,1727,,bio,<blank>,,,"Hayes, Richard.",A new method for valuing of annuities upon lives
mdp.39015026498405,1737,1737,1737,,bio,v.3,,,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, baron de Pollnitz"
uva.x001328302,1739,1739,1739,,bio,V.1,,,"P̦llnitz, Karl Ludwig,","The memoirs of Charles-Lewis, Baron de Pollnitz"
mdp.39015078565408,1726,1726,1726,,fic,c.1 v.1,,,"Swift, Jonathan,",Travels into several remote nations of the world
mdp.39015073721808,1723,1723,1723,,bio,<blank>,,,"Skinner, Thomas,",The life of General Monk
ucm.5329037873,1736,1736,1736,,fic,,,,,"Secret memoirs and manners of several persons of quality, of both sexes from the New Atlantis, Island in the Mediteranean ; written originally in italian ; Vol. II"
mdp.39015078548024,1734,1734,1734,,fic,,,,"Chetwood, W. R.","The voyages, dangerous adventures, and imminent escapes of Capt. Rich. Falconer"
nyp.33433056814738,1750,1750,1750,,bio,<blank>,,,"Halifax, George Savile,",A character of King Charles the Second
yale.39002007683817,1748,1748,1748,,bio,v.1,,,"Whiston, William,",Memoirs of the life and writings of Mr. William Whiston
mdp.39015056795332,1749,1749,1749,,fic,v.4,,,"Fielding, Henry,",The history of Tom Jones
njp.32101067678431,1728,1728,1728,,bio,<blank>,,,"Colman, Benjamin,","Some of the glories of Our Lord and Saviour Jesus Christ, exhibited in twenty sacramental discourses, preached at Boston in New England"
mdp.39015064581278,1735,1735,1735,,bio,v.2,,,"Ramsay,",The history of Henri de la Tour d'Auvergne
ucm.5323840709,1750,1750,1750,,bio,,,,"C̩sar, Cayo Julio,","C. Julius Caesar's Commentaries of his wars in Gaul, and civil war with Pompey : To which is added, a supplement to his Commentary of his wars in Gaul; as also, Commentaries of the Alexandrian, African, and Spanish wars, by Aulus Hirtius, or Oppius, etc. With the author's life. Adorn'd with sculptures from the designs of the famous Palladio"
uc2.ark+=13960=t49p3bc37,1708,1708,1708,,bio,v.3,,,"Mackenzie, George,",The lives and characters of the most eminent writers of the Scots nation;
nnc1.0020355459,1741,1741,1741,,fic,v.2,,,,Benedicta;
mdp.39015030141231,1732,1732,1732,,bio,v.1,,,"Wharton, Philip Wharton,","The life and writings of Philip, late duke of Wharton"
mdp.39015078548719,1748,1748,1748,,fic,,,,"Berington, Simon,",The adventures of Sigr. Gaudentio di Lucca [pseud.] Being the substance of his examination before the fathers of the Inquisition at Bologna in Italy
nnc1.0114365987,1735,1735,1735,,bio,<blank>,,,"Rambach, J. J.","Memoirs of the life and death of the late Reverend Mr. Anthony William Boehm, formerly chaplain to the Royal Highness Prince George of Denmark, and minister of the German Chapel at St. James's in London"
mdp.39015030155215,1703,1703,1703,,fic,,,,"La Calpren̬de, Gaultier de Coste,",The famous history of Cassandra
njp.32101069177226,1735,1735,1735,,fic,,,,"Cr̩billon, Claude-Prosper Jolyot de,","Letters from the Marchioness de M***, to the Count de R***"
mdp.39015028161266,1721,1721,1721,,fic,,,,"La Motte,","One hundred new court fables, written for the instruction of princes, and a true knowledge of the world"
mdp.39015063612132,1719,1719,1719,,bio,<blank>,,,"Misson, Henri, de Valbourg,",M. Misson's Memoirs and observations in his travels over England
uc2.ark+=13960=t6xw4qf2s,1726,1726,1726,,bio,<blank>,,,"Parkinson, Anthony,",Collectanea Anglo-minoritica
hvd.hw20nh,1741,1741,1741,,bio,v.2,,,"Middleton, Conyers,",The history of the life of Marcus Tullius Cicero
uc2.ark+=13960=t8kd2038c,1738,1738,1738,,bio,<blank>,,,"Lee, Weyman.",An essay to ascertain the value of leases and annuities for years and lives
nyp.33433061843714,1714,1714,1714,,bio,<blank>,,,"Le Neve, John,","The lives and characters of the most illustrious persons, British and foreign, who died in the year 1712"
nnc1.0114150085,1726,1726,1726,,bio,v.1-2,,,"Ker, John,","The memoirs of John Ker, of Kersland in North Britain, esq;"
mdp.39015078546366,1747,1747,1747,,non,<blank>,,,"Harrington, James,",The Oceana and other works of James Harrington esq;
mdp.39015065800586,1736,1736,1736,,fic,v.5,,,"La Calpren̬de, Gaultier de Coste,",Hymen's praeludia
nnc1.0114151715,1739,1739,1739,,fic,v.2,,,"Challes, Robert,",The illustrious French lovers;
wu.89101953933,1751,1751,1751,,bio,<blank>,,,Frederick,Memoirs of the house of Brandenburg
nyp.33433074909973,1795,1795,1795,,fic,v. 3,,,"Cumberland, Richard,",Henry;
nyp.33433074916440,1789,1789,1789,,fic,v. 3,,,"Bennett,",Agnes de-Courci
mdp.39015033925283,1795,1795,1795,,bio,v.3,,,"Waldron, F. G.",The biographical mirrour
uva.x002447334,1758,1758,1758,,bio,v.2,,,Plutarch.,Plutarch's Lives
nyp.33433082367529,1760,1760,1760,,bio,v. 2,,,"Clarendon, Edward Hyde,","The life of Edward Earl of Clarendon, lord high chancellor of England, and chancellor of the University of Oxford"
mdp.39015065484381,1766,1766,1766,,bio,v.1,,,"Harris, William,","An historical and critical account of the life of Charles the Second, king of Great Britain"
mdp.39015010798075,1751,1751,1751,,bio,<blank>,,,"Ludlow, Edmund,","Memoirs of Edmund Ludlow, esq"
nyp.33433075863757,1751,1751,1751,,bio,<blank>,,,"Moncrieff, Thomas,","Memoirs concerning the ancient alliance between the French and Scots, and the privileges of the Scots in France"
uc2.ark+=13960=t5z60gb1p,1795,1795,1795,,bio,v.2,,,"Seward, William,",Anecdotes of some distinguished persons
dul1.ark+=13960=t9d51cj57,1752,1752,1752,,fic,v.2,,,"Haywood, Eliza Fowler,",The history of Miss Betsy Thoughtless
hvd.hn4q7d,1771,1771,1771,,fic,vol.4,,,"Cervantes Saavedra, Miguel de,",The history of the renowned Don Quixote de la Mancha
mdp.39015009245906,1766,1766,1766,,bio,v.1,,,"Lloyd, David,","State-worthies: or, The statesmen and favourites of England from the reformation to the revolution"
njp.32101073818450,1776,1776,1776,,bio,vol. 5,,,<blank>,The British Plutarch
mdp.39015039526143,1755,1755,1755,,bio,<blank>,,,"Amory, Thomas,",Memoirs: containing the lives of several ladies of Great Britain
mdp.39015063931474,1794,1794,1794,,fic,v.3,,,"Gunning,",Memoirs of Mary
uc2.ark+=13960=t72v2gw9h,1774,1774,1774,,non,<blank>,,,"Wagstaffe, Thomas,",Piety promoted
nyp.33433066658539,1795,1795,1795,,bio,v. 5,,,"Belsham, William,",Memoirs of the reign of George III. to the session of parliament ending A.D. 1793
mdp.39015074813760,1752,1752,1752,,bio,<blank>,,,<blank>,"Memoirs of the life and ministerial conduct, with some free remarks on the political writings, of the late Lord Visc. Bolingbroke"
nyp.33433082537444,1762,1762,1762,,bio,v. 5-6,,,<blank>,"The British Plutarch, or Biographical entertainer"
nyp.33433082341896,1751,1751,1751,,bio,v. 1,,,"Ludlow, Edmund,","Memoirs of Edmund Ludlow, esq"
dul1.ark+=13960=t6349g04w,1761,1761,1761,,fic,,,,"Berington, Simon,",The adventures of Sig. Gaudentio di Lucca
mdp.39015031644233,1793,1793,1793,,fic,ser.2 no.2666/v.1 1793,,,,The Minstrel;
mdp.39015021305159,1799,1799,1799,,fic,v.2,,,"Radcliffe, Ann Ward,",The mysteries of Udolpho
nyp.33433074909932,1765,1765,1765,,fic,,,,"Defoe, Daniel,","The life and adventures of the famous Moll Flanders, who was born in Newgate"
nnc1.0022686053,1800,1800,1800,,bio,v.2,,,"Chesterfield, Philip Dormer Stanhope,",Letters
nnc1.0315301320,1765,1765,1765,,fic,v.2,,,,The generous Briton;
mdp.39015078562520,1751,1751,1751,,fic,v.2,,,"Swift, Jonathan,",Travels into several remote nations of the world
mdp.39015014862844,1761,1761,1761,,bio,<blank>,,,"Toland, John,",The life of John Milton;
mdp.39015078562280,1783,1783,1783,,fic,,,,"Paltock, Robert,","The life and adventures of Peter Wilkins, a Cornish man"
nyp.33433009303649,1788,1788,1788,,bio,<blank>,,,<blank>,A Short statement of the services of those naval officers who were overlooked in the last promotion of Admirals
nyp.33433081849543,1770,1770,1770,,bio,<blank>,,,"Dalrymple, David,","The additional case of Elisabeth, claiming the title and dignity of Countess of Sutherland, by her guardians"
hvd.hn37mg,1780,1780,1780,,fic,v.1,,,"Pratt,","Shenstone-Green, or, The new Paradise lost"
mdp.39015078562363,1751,1751,1751,,fic,v.1,,,"Kimber, Edward,",The life and adventures of Joe Thompson
mdp.39015031385936,1774,1774,1774,,fic,v.2,,,"Graves, Richard,",The spiritual Quixote
mdp.39015013744076,1754,1754,1754,,fic,v.2,,,"Guthrie, William,",The friends
mdp.39015063616984,1767,1767,1767,,fic,v.1,,,"Johnstone, Charles,",The reverie;
mdp.39015038638337,1797,1797,1797,,bio,v.1,,,"Barruel,",Memoirs
nnc1.cu56528370,1799,1799,1799,,bio,<blank>,,,<blank>,Eastern anecdotes of exemplary characters
njp.32101037021019,1766,1766,1766,,fic,v.4,,,"Pennington, Sarah,",Letters on different subjects
hvd.hn2dtm,1778,1778,1778,,bio,v.3,,,"Sully, Maximilien de B̩thune,",Memoirs of Maximilian de Bethune
mdp.39015078562355,1751,1751,1751,,fic,v.2,,,"Kimber, Edward,",The life and adventures of Joe Thompson
yale.39002005623153,1765,1765,1765,,bio,v.2,,,"Walpole, Horace,",Anecdotes of painting in England;
uva.x000613611,1764,1764,1764,,bio,V.2,,,"Shenstone, William,","Essays on Men, Manners, and Things (largely biographical sketches)"
ucm.5320261462,1786,1786,1786,,bio,<blank>,,,"Chaudon, Louis Mayeul,",Historical and critical memoirs of the life and writings of M. de Voltaire
hvd.hw204v,1797,1797,1797,,fic,,,,"Rulhi̬re, Claude Carloman de,","The history, or anecdotes, of the revolution in Russia, in the year 1762"
njp.32101060589742,1793,1793,1793,,bio,<blank>,,,"Cumberland, George,",Some anecdotes of the life of Julio Bonasoni
njp.32101077780524,1768,1768,1768,,fic,v.2,,,"��In��yat All��h,",Tales
mdp.39015063975075,1777,1777,1777,,bio,<blank>,,,"Johnson, Samuel,","The Life of Mr. Richard Savage, son of the Earl Rivers"
njp.32101079239461,1777,1777,1777,,fic,v.5,,,"Pratt,",Liberal opinions
dul1.ark+=13960=t3vt2js1t,1786,1786,1786,,fic,v.1,,,"Bennett,","Anna; or, Memoirs of a Welch heiress"
uva.x000826970,1786,1786,1786,,fic,V.1,,,"Smollett, T.",The adventures of Peregrine Pickle
nyp.33433076093123,1776,1776,1776,,fic,v. 1,,,"Hurd, Richard,",Moral and political dialogues;
dul1.ark+=13960=t3gx54x4v,1797,1797,1797,,fic,,,,Addison.,"Interesting anecdotes, memoirs, allegories, essays, and poetical fragments;"
mdp.39015078565473,1800,1800,1800,,fic,,,,"Swift, Jonathan,","The travels of Lemuel Gulliver, into several remote nations of the world;"
mdp.39015013748200,1781,1781,1781,,bio,v.2,,,"Davies, Thomas,","Memoirs of the life of David Garrick, esq"
mdp.39015062248144,1761,1761,1761,,fic,v.1,,,,Hau kiou choaan
njp.32101064256108,1768,1768,1768,,fic,,,,"Byron, John,",The narrative of the Honourable John Byron
nyp.33433074913595,1755,1755,1755,,fic,v. 1,,,"Haywood, Eliza Fowler,",The invisible spy
nyp.33433082377338,1771,1771,1771,,bio,<blank>,,,"Jemmat, Catherine,",The memoirs of Mrs. Catherine Jemmat
nnc1.0037990985,1799,1799,1799,,fic,,,,"Sterne, Laurence,",The beauties of Sterne;
nyp.33433074911490,1791,1791,1791,,fic,v. 4,,,"Smith, Charlotte,",Celestina
nyp.33433074955463,1752,1752,1752,,fic,,,,"Mozeen, Thomas,",Young Scarron
mdp.39015068293086,1780,1780,1780,,bio,<blank>,,,"Warton, Thomas,",The life of Sir Thomas Pope
mdp.39015065345764,1765,1765,1765,,bio,v.7,,,"Shenstone, William,","The works in verse and prose, of William Shenstone"
njp.32101073816660,1787,1787,1787,,bio,vol.2,,,"Noble, Mark,",Memoirs of the protectoral-house of Cromwell;
mdp.39015065806815,1762,1762,1762,,fic,,,,"Le Sage, Alain Ren̩,",The devil upon two sticks
pst.000005236749,1778,1778,1778,,fic,v.1,,,"Le Sage, Alain Ren̩,",The adventures of Gil Blas of Santillane
nyp.33433074916374,1751,1751,1751,,fic,,,,"Coventry, Francis,","The history of Pompey the Little, or, The life and adventures of a lap-dog"
mdp.39015078562306,1755,1755,1755,,fic,,,,"Morris, Drake, pseud.","The travels of Mr. Drake Morris, merchant in London"
njp.32101037021548,1777,1777,1777,,fic,v.6,,,"Pratt,",Liberal opinions
uc2.ark+=13960=t1kh0g314,1760,1760,1760,,fic,v.1,,,"Johnstone, Charles,",Chrysal
