docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
nyp.33433074913330,1758,1758,1758,,fic,,,,"Fielding, Sarah,",The lives of Cleopatra and Octavia
GrifRSGfic,1757,1757,1732,,fic,,,,"Griffith, Richard, d. 1788,",A SERIES of Genuine LETTERS BETWEEN HENRY AND FRANCES.
CharCLTfic,1758,1758,1713,,fic,,,,"Charke, Charlotte,",THE LOVER'S TREAT: OR Unnatural Hatred. BEING A True NARRATIVE as deliver'd to the Author by one of the Family who was principally concern'd in the following Account.
nyp.33433074913595,1755,1755,1755,,fic,v. 1,,,"Haywood, Eliza Fowler,",The invisible spy
mdp.39015078562306,1755,1755,1755,,fic,,,,"Morris, Drake, pseud.","The travels of Mr. Drake Morris, merchant in London"
dul1.ark+=13960=t75t4h262,1764,1764,1764,,fic,v.1,,,,"The memoirs of Miss D'Arville; or, The Italian female philosopher"
mdp.39015067220148,1761,1761,1761,,fic,,,,"Hagen, Lorentz",Anecdotes concerning the famous John Reinhold Patkul: or
MacpJBLfic,1762,1762,1736,,fic,,,,"Macpherson, James,",THE BATTLE of LORA. A POEM WITH Some FRAGMENTS written in the ERSE or IRISH LANGUAGE BY OSSIAN the SON of FINGAL.
uc2.ark+=13960=t5t728v3r,1763,1763,1763,,fic,v.2,,,"Smollett, T.",The adventures of Peregrine Pickle
nnc1.1002351560,1761,1761,1761,,fic,v.1,,,"Morell, Charles,","The history of James Lovegrove, esq"
StevGHTfic,1760,1760,1710,,fic,,,,"Stevens, George Alexander,",THE HISTORY OF TOM FOOL.
mdp.39015063616984,1767,1767,1767,,fic,v.1,,,"Johnstone, Charles,",The reverie;
nyp.33433074909932,1765,1765,1765,,fic,,,,"Defoe, Daniel,","The life and adventures of the famous Moll Flanders, who was born in Newgate"
nyp.33433074918735,1769,1769,1769,,fic,v. 1,,,"Tooke, William,",The loves of Othniel and Achsah
ucm.5320262557,1767,1767,1767,,fic,,,,"Kelly, Hugh,",Memoirs of a Magdalen or The history of Louisa Mildway
