authgender,year,lower,median,upper
m,1790,0.0679050756336,0.0925220833265,0.122187175318
m,1791,0.0703781586632,0.0975554710779,0.123974629204
m,1792,0.0485284729305,0.0745698813243,0.103541629372
m,1793,0.04587319524,0.0677327627441,0.0983378069
m,1794,0.0623419556795,0.0865304828405,0.111048569606
m,1795,0.0855550054534,0.101103133399,0.114442315395
m,1796,0.0840019858025,0.100142027494,0.11469826557
m,1797,0.0808210463246,0.0968097279561,0.111145454178
m,1798,0.0731843749277,0.0945103811059,0.114515732396
m,1799,0.0573733527841,0.0708840603928,0.0900241992938
m,1800,0.0596387102012,0.0688669580205,0.0794061854774
m,1801,0.0617724039397,0.070915541314,0.0821723380117
m,1802,0.0747181231363,0.0849865375847,0.0943247138242
m,1803,0.0620908394094,0.0779893612439,0.095484454371
m,1804,0.0603031720904,0.0758312600287,0.0923068341029
m,1805,0.0528120172199,0.0654186092636,0.0784747212421
m,1806,0.0470205282654,0.0581744217958,0.0705855687607
m,1807,0.0608950922992,0.0691090822068,0.078800767401
m,1808,0.0658175706677,0.0748219356988,0.0845205162847
m,1809,0.0718227103376,0.0786668458252,0.0854425542637
m,1810,0.0692752445113,0.0760538426313,0.0821761133575
m,1811,0.0681033294995,0.0758232146451,0.084087492406
m,1812,0.06349863056,0.0748713835726,0.085404408294
m,1813,0.0500498182481,0.0700259469752,0.0874002778885
m,1814,0.0560559268189,0.0683389245531,0.0807948795213
m,1815,0.0633882699251,0.0755816208583,0.0906652721738
m,1816,0.0623585526777,0.0737265501976,0.0852603847031
m,1817,0.0514280410956,0.0628115682145,0.0758033286711
m,1818,0.0516865825271,0.0588917471947,0.0665420276996
m,1819,0.0521467407783,0.0602630091515,0.0687132951714
m,1820,0.0611873628112,0.0700142548778,0.0795087187713
m,1821,0.0639395974208,0.0721842814498,0.0808487373579
m,1822,0.0732346181546,0.0807535014394,0.0880604850834
m,1823,0.0717196244715,0.0785762769675,0.0847353073956
m,1824,0.0735975421159,0.0798341662813,0.0855898099767
m,1825,0.0712620035024,0.0772000716908,0.082896766729
m,1826,0.0703290896088,0.076501485354,0.0823063759659
m,1827,0.0690085212193,0.0747148545517,0.0800281933781
m,1828,0.0681157919263,0.0729767137149,0.0774922237689
m,1829,0.0739231517586,0.0790788285322,0.0839481149667
m,1830,0.074060637249,0.0784577963039,0.0830354725968
m,1831,0.0749249203034,0.0804769178369,0.0858336353921
m,1832,0.0707530743352,0.0760555991354,0.0811993108756
m,1833,0.0708012715944,0.076917504389,0.0827048528796
m,1834,0.0756673149498,0.0819248603069,0.0870461231458
m,1835,0.0759327418141,0.0809583180682,0.0857965174735
m,1836,0.07392858765,0.0793824820991,0.0851836798786
m,1837,0.0718153723482,0.0774862660727,0.0828579107833
m,1838,0.0760501152479,0.0815523201689,0.0870109773784
m,1839,0.0790052878355,0.084839340219,0.0898993780937
m,1840,0.077703563847,0.0830598866041,0.0886506147594
m,1841,0.077691500058,0.0824685937339,0.0880186302208
m,1842,0.0771273756012,0.0824858695363,0.0876203731185
m,1843,0.0799224447495,0.0840678013718,0.0880195755579
m,1844,0.0790983180065,0.0833032239209,0.0875186336318
m,1845,0.0761194223083,0.0806654012439,0.0854013471633
m,1846,0.0722587675405,0.0772602392238,0.0823383746444
m,1847,0.0732658230157,0.0783166077531,0.0836658660859
m,1848,0.0747970796501,0.0792005681945,0.0837222986628
m,1849,0.0703960230294,0.0745419811929,0.0783183003528
m,1850,0.0683556440672,0.0727020310818,0.0768685401204
m,1851,0.0690785447896,0.0726509388451,0.0760388467563
m,1852,0.068968707003,0.0729474868409,0.0768378760798
m,1853,0.0717827689907,0.0755766674325,0.0790644214985
m,1854,0.0686426552254,0.0727098379569,0.0769039641999
m,1855,0.0696217513963,0.0735163608003,0.0771804511191
m,1856,0.0680614258575,0.0717122436948,0.0747961144616
m,1857,0.0717359380555,0.0750629896214,0.0783691601575
m,1858,0.0723076538382,0.0753873163025,0.0784431356625
m,1859,0.0721042382818,0.0756933486255,0.0790047164209
m,1860,0.0700813246495,0.0736568486999,0.0769278137977
m,1861,0.0668466770201,0.0711214552193,0.0749299194271
m,1862,0.0634666377301,0.0680503107106,0.0722660806304
m,1863,0.0631668681675,0.0668674538603,0.0708439431308
m,1864,0.065028128277,0.0681927609253,0.0717491133524
m,1865,0.0675829758419,0.0710002174705,0.0741926775274
m,1866,0.0663587213436,0.0695940442732,0.0728108795598
m,1867,0.0641318477224,0.0676667449472,0.0711737103309
m,1868,0.0588429654943,0.0616710013647,0.064553278948
m,1869,0.0619882186146,0.0651335810631,0.0682928405377
m,1870,0.0636551244129,0.0668550033151,0.0697213620357
m,1871,0.0650554480354,0.0679770025419,0.0709258692307
m,1872,0.0652280301411,0.0682028611541,0.0713424875022
m,1873,0.0655264160263,0.0683177683626,0.0712310540109
m,1874,0.0640232867802,0.0674793460542,0.070978343212
m,1875,0.0663998792228,0.0694419796645,0.0726725074901
m,1876,0.0666540944069,0.0695745167324,0.0724868763261
m,1877,0.0669931828371,0.0697529296613,0.0723507656963
m,1878,0.0643117552435,0.0672599692681,0.0699213447032
m,1879,0.0619858847565,0.0648631802749,0.0675888558277
m,1880,0.0631383185223,0.0657346514309,0.0684061719462
m,1881,0.061703095332,0.0639328611653,0.0664346929041
m,1882,0.061862879943,0.0641865480456,0.0663906294742
m,1883,0.0610338708692,0.063197834211,0.0653892073426
m,1884,0.0631588407351,0.0652303081676,0.0673437782437
m,1885,0.0621913143648,0.0647415483422,0.0670335121774
m,1886,0.0611659748789,0.0633747483119,0.0656126866608
m,1887,0.0607690897435,0.062703693161,0.0647667030501
m,1888,0.0602278973031,0.0624431651129,0.0645505063393
m,1889,0.0622900681425,0.0645342530645,0.0667315715799
m,1890,0.0633611635355,0.0654971509853,0.0678349316213
m,1891,0.065585887635,0.0675815401551,0.0697800018024
m,1892,0.0664033467593,0.0685734433547,0.0704773645074
m,1893,0.0663918166381,0.0682013379939,0.0699050213168
m,1894,0.0653436149912,0.0671757208916,0.0689663445026
m,1895,0.0645938849382,0.0663372133341,0.0679104610557
m,1896,0.0641823036742,0.0659726716032,0.0676704798137
m,1897,0.0652034080409,0.0669163635871,0.0685243638437
m,1898,0.0661423110635,0.0679213385954,0.06963553247
m,1899,0.0669834359571,0.0688353133192,0.070716429836
m,1900,0.0669994045684,0.0691623787499,0.0712613615496
m,1901,0.0669807427893,0.0692772625778,0.0716749175826
m,1902,0.0675400502434,0.0700474224347,0.0722388715656
m,1903,0.0681040395915,0.0701997805974,0.0725467895931
m,1904,0.0682920121046,0.0707032920551,0.0727176300357
m,1905,0.0659011288332,0.0680006922872,0.0702218778126
m,1906,0.0650580723868,0.0672707586968,0.0692372873004
m,1907,0.0662939793427,0.0682667200702,0.070322537375
m,1908,0.0664207944777,0.0684181478567,0.0703058959527
m,1909,0.0654580300722,0.0674007912442,0.0694332571049
m,1910,0.0620632724366,0.063802996808,0.0654291013583
m,1911,0.0612127457943,0.0630216078618,0.0647482432982
m,1912,0.0611279440038,0.0626365768936,0.0643413169099
m,1913,0.0598142465516,0.0613952399738,0.063048566844
m,1914,0.0595976214005,0.0612320564399,0.0628909854
m,1915,0.0582767433046,0.0599794536294,0.061621835448
m,1916,0.0600584905473,0.0619029944727,0.0636435382649
