volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
10838,1947,1947,1906,1947,m,au,12.755305701900989,0.00692147173821,random,1,"Blunden, Godfrey",A Room on the Route,chirandom | teamblack
10853,1947,1947,0,1947,m,us,11.405495564891563,0.135827933196,random,1,"Heinlein, Robert A.",Rocket ship Galileo,teamred | chirandom | chiscifi
10862,1947,1947,1906,1947,m,us,11.827022877636372,0.119424968275,random,1,"Myers, John Myers,",The wild Yazoo,teamred | chirandom
10883,1948,1948,1906,1948,m,us,11.569754375929968,0.964927293381,detective,1,"Brown, Fredric,",The dead ringer,teamred | chimyst
10889,1939,1948,1888,1939,m,us,10.174234325368138,0.990352894559,detective,1,"Chandler, Raymond,",The big sleep,chimyst | teamblack | det100 | hardboiled
10911,1948,1948,0,1948,m,us,12.101839737036792,0.68121031205,detective,1,"Queen, Ellery,",Ten days' wonder,chimyst | det100 | teamblack | cozy | chirandom | stew
10916,1948,1948,1904,1948,m,us,11.972488796113094,0.00497573186494,random,1,"Skinner, B. F.",Walden Two,chiutopia | chirandom | teamblack
10922,1948,1948,1897,1948,m,us,11.702914854192429,0.0107702843762,random,1,"Wilder, Thornton,",The ides of March,teamred | chirandom
10954,1949,1949,1905,1949,m,us,12.382240558653695,0.902020819125,detective,1,"Palmer, Stuart,",Four lost ladies,chirandom | teamblack | chimyst
10962,1949,1949,1886,1949,m,us,12.010535237847078,0.964064924234,detective,1,"Stout, Rex,",The second confession,teamred | chimyst | cozy | stew | det100
10983,1950,1950,1901,1950,m,us,11.844609243612979,0.943800397253,detective,1,"Coxe, George Harmon,",The frightened fianc???e,teamred | chimyst
10986,1950,1950,1914,1950,m,us,17.75454145346203,0.00158126147128,random,1,"Fast, Howard,",The proud and the free,chirandom | teamblack
11007,1950,1950,1904,1950,f,us,12.547438847869607,0.0892239198791,random,1,"Seton, Anya,",Foxfire,chirandom | teamblack
11013,1950,1950,1912,1950,m,us,12.287371369656078,0.955780679956,random,1,"Van Vogt, A. E. 1912-2000",The house that stood stil,chiscifi | chirandom | teamblack
11022,1925,1925,1873,1925,m,uk,12.139289032824253,0.185197448219,random,1,"Ford, Ford Madox,",No more parades,teamred | chirandom
11030,1927,1927,1882,1927,f,uk,17.369762410660023,0.00802800179355,random,1,"Woolf, Virginia,",To the lighthouse,chirandom | teamblack
11044,1932,1932,1894,1932,m,uk,13.80331763850907,0.0124214657371,random,1,"Morgan, Charles,",The fountain,teamred | chirandom
11073,1942,1942,1897,1942,m,uk,12.622539165910672,0.0628936396275,random,1,"Knight, Eric,",Sam Small flies again (Th,chirandom | teamblack
11074,1942,1942,1898,1942,m,uk,14.537500687863846,0.00174936260586,random,1,"Lewis, C. S.",The Screwtape letters,chirandom | teamblack | chifantasy
11081,1944,1944,1882,1944,m,uk,10.988569614219802,0.0118721444819,random,1,"Joyce, James,",Stephen hero,teamred | chirandom
11098,1950,1950,1919,1950,f,uk,14.770426442953555,0.00276796073229,detective,1,"Lessing, Doris,",The grass is singing,teamred | chirandom | stew | chimyst
11100,1929,1929,1894,1929,m,us,11.08167691874698,0.989681154467,detective,1,"Hammett, Dashiell,",Red Harvest,chimyst | teamblack | det100 | hardboiled
